Text,Annotate,LSTM_framing,GRU_framing,LR_framing,SVM_framing
" ""Kung sa loob kasi ang practice, mainit, sobrang init baka merong mahimatay diyan katulad ng nangyayari sa San Jose yung mga estudyante marami na pong nahihimatay doon,” Provincial Training Center guard Mean Limos said.",9.0,13.0,8.0,8.0,8.0
" (If they do the dance practice inside, it's too hot, they might collapse, like what's happening in San Jose, the students were already collapsing there.)",10.0,11.0,11.0,10.0,10.0
" “Mayroon tayong scheme na ang mga bata ay wala sa loob ng paaralan between 10:30 a.m. hanggang alas tres ng hapon, ‘yung sobrang init,” Rodel Magnaye, assistant school division superintendent of Occidental Mindoro, said.",6.0,7.0,7.0,6.0,6.0
" (We have a scheme that children should not be inside the classroom between 10:30 a.m. and 3 p.m., it's very hot.)",6.0,9.0,9.0,6.0,8.0
 Occidental Mindoro Governor Eduardo Gadiano said on Friday the province has been placed under a state of calamity due to the 20-hour daily power outage for the last month and a half.,8.0,13.0,13.0,4.0,12.0
 Gadiano said the province only has a four-hour power supply on a daily basis which has been affecting the livelihood and health of his constituents.,9.0,9.0,9.0,8.0,8.0
 Residents and business owners also expressed concern over the power outage experienced in the province.,12.0,1.0,1.0,11.0,0.0
" “Hindi makatulog dahil sa sobrang init pati mga apo hindi makatulog (We cannot sleep due to the extreme heat, including my grandchildren),” resident Dolores Garcia said.",11.0,9.0,9.0,8.0,4.0
" “Nagbabayad ka ng tama, pero wala kang makuhang magandang serbisyo (We are paying right, but we don't get good service),” another resident Danica Atienza said.",1.0,1.0,1.0,0.0,0.0
" “Nagka-karga kami ng gasolina sa generator pinapaandar namin halos maghapon mahal ang gasolina eh (We load gasoline into the generator and run it most of the day, the gasoline is expensive),” business owner Nilda Go said.",1.0,1.0,1.0,0.0,0.0
" ""Ang aming pagkain kailangan namin ng malamig na tubig, malamig na softdrinks, hindi kami makabenta (We need cold water, cold soft drinks, otherwise, we can't sell them),” another business owner Lilia De Jesus said.",1.0,1.0,1.0,0.0,0.0
 The National Grid Corporation of the Philippines (NGCP) explained that the original electricity supplier has no means to purchase crude oil for the power generation.,1.0,1.0,1.0,0.0,4.0
" “Ang supply po natin sa kasalukuyan ay 12 megawatts lang at ang kakulangan ng suplay ng kuryente sa Occidental ay nasa about 18 megawatts, dahil po ito sa ang OMCPC nililimitahan din niya yung kanyang supply dahil sa isyu ng subsidy mula sa universal charge for missionary electrification,” Celso Garcia, OMECO general manager, said.",1.0,1.0,1.0,6.0,4.0
" (Our current supply is only 12 megawatts and the lack of electricity supply in Occidental is about 18 megawatts, this is because the OMCPC also limits its supply due to the issue of subsidy from the universal charge for missionary electrification.)",1.0,1.0,1.0,1.0,12.0
 The Energy Department said it is in the process  with the new supplier of electricity to provide 24-hour supply to the province.,1.0,2.0,2.0,1.0,4.0
" “Mailabas ng ERC ‘yung ruling nila pagdating dito sa pagbibigay ng provisional authority para umandar itong makina na nandito sa Mindoro,” Gadiano said.",5.0,5.0,5.0,4.0,4.0
Statue of ex-President Diosdado Macapagal unveiled in Zambales,11.0,13.0,13.0,12.0,12.0
" A statue of former President Diosdado Macapagal was unveiled at the Philippine Merchant Marine Academy (PMMA) in San Narciso, Zambales on Friday, his daughter and House Senior Deputy Speaker Gloria Arroyo said.",11.0,13.0,13.0,12.0,12.0
 A statement from the Arroyo’s office said the PMMA built the monument to honor the late President Macapagal since the measure converting the Philippine Nautical School to the present PMMA was signed by then President Macapagal back in 1963.,13.0,13.0,13.0,12.0,12.0
" The law, the statement read, enabled PMMA to confer the Bachelor of Science in Marine Transportation degree and automatically granted the Third Mate and Fourth Marine Engineer licenses on graduates without a Professional Regulation Commission Examination.",6.0,5.0,6.0,4.0,4.0
" Arroyo, a former President herself, and her sister and former Pampanga Vice Governor Cielo Macapagal-Salgado were present during the unveiling of the Diosdado Macapagal statue.",13.0,13.0,13.0,12.0,12.0
" In her remarks during the event, Arroyo recalled that when she was president in 2002, PMMA was already producing 10% of the total number of Filipino deck and engine officers manning international ships, providing foreign exchange earnings for the country in the process.",1.0,1.0,11.0,13.0,12.0
DOTr chief Bautista: Another vehicle plate shortage looms,1.0,1.0,1.0,14.0,4.0
" Amid the shortage of plastic cards used for printing driver’s licenses, Transportation Secretary Jaime Bautista on Friday warned of another shortage in vehicle license plates.",2.0,2.0,2.0,4.0,4.0
" “Posible na magkaroon na rin ng shortage… Sabi sa amin, ang plaka natin will be available until end June,” Bautista said in a virtual press conference.",13.0,11.0,11.0,4.0,12.0
" “Kaya kailangan na rin natin magkaroon ng procurement,” he said.",1.0,15.0,15.0,12.0,12.0
 Transportation Undersecretary for Administration and Finance Kim de Leon said the agency is calling for bids for at least 13 million vehicle license plates amounting to P5.2 billion.,1.0,1.0,1.0,0.0,0.0
" “These include the backlog plates and the current requirements,” de Leon said.",8.0,2.0,2.0,10.0,12.0
" The Land Transportation Office, last year, said it targets to clear up to 90% of its license plate backlogs by the end of 2023. There are 2.3 million backlogs for vehicle replacement plates and 11.5 million for motorcycle license plates.",2.0,2.0,2.0,0.0,0.0
"Galvez: US pledged P11-B for disaster-response choppers, EDCA sites",8.0,13.0,12.0,11.0,12.0
" The United States has pledged US$100 million or over P5.5 billion for the acquisition of medium-lift helicopters for disaster response and  operations of the Armed Forces of the Philippines, Defense department officer in charge Carlito Galvez has said.",1.0,1.0,1.0,0.0,0.0
" In a statement, Galvez said the US has also increased to US$100 million the funding for the Philippine military facilities which the US forces may access under the Enhanced Defense Cooperation Agreement.",1.0,1.0,1.0,0.0,4.0
" ""I am also pleased to share the US pledge of $100 million or P5.5-billion modernization assistance in this regard, which will be utilized for the acquisition of HADR-configured medium-lift helicopters for the disaster response and  operations of our Armed Forces,"" Galvez said in a statement.",1.0,1.0,1.0,0.0,0.0
" ""The US has also increased the funding for the development of the EDCA sites from $82 million to $100 million, which is equivalent to another P5.5 billion.  This brings the total of the US’s pledge of support for the HADR helicopters and EDCA projects to P11 billion,"" he added.",1.0,1.0,1.0,0.0,0.0
" Galvez said the various projects at the EDCA sites, mostly for the warehousing and storage of humanitarian assistance and disaster response-related material, are scheduled  by the end of 2023.",2.0,1.0,1.0,8.0,6.0
" There are at present five EDCA locations. They the Antonio Bautista Air Base in Palawan, Basa Air Base in Pampanga, Fort Magsaysay in Nueva Ecija, Mactan-Benito Ebuen Air Base in Cebu, and Lumbia Air Base in Cagayan de Oro City.",8.0,8.0,11.0,10.0,6.0
" Philippine and US officials in early April announced the designation of four additional EDCA sites: the Naval Base Camilo Osias in Sta Ana, Cagayan; Lal-lo Airport in Lal-lo, Cagayan; Camp Melchor Dela Cruz in Gamu, Isabela; and Balabac Island in Palawan. ",8.0,8.0,8.0,6.0,6.0
" ""As part of our efforts to prepare to respond to contingencies, the four additional EDCA sites are expected to serve as points for the evacuation of overseas Filipino workers in the event of a flare-up in the region's flashpoints,"" Galvez said.",8.0,1.0,1.0,0.0,4.0
" ""Our defense attachés have been working and coordinating with their host countries on possible repatriation operations, which can be undertaken with our US allies, should the need arise,"" he added.",8.0,8.0,8.0,7.0,4.0
" Galvez said the naval bases in Balabac and in Camilo Osias are ""to strengthen the maritime domain awareness and security, serving as stations and shelters for the radar local monitoring systems.""",8.0,8.0,8.0,7.0,7.0
" ""These will also be a new asset, such as the Navy's offshore patrol vessels and corvettes which are now under construction, as well as the future multirole fighters for the Air Force,"" Galvez said.",8.0,1.0,1.0,8.0,4.0
" Galvez said the deployment and the modernization of the AFP through the EDCA ""shall boost our territorial defense capabilities and will enable our fisherfolk to freely pursue their livelihood in our waters."" ",8.0,8.0,8.0,4.0,4.0
" On Wednesday, Department of Foreign Affairs (DFA) chief Enrique Manalo said six of the 16 projects in the five initial EDCA locations would  this year.",2.0,1.0,1.0,6.0,4.0
"De Lima to Remulla: I will gain my freedom on merits, not humanitarian grounds",5.0,4.0,4.0,9.0,12.0
 Former Senator Leila de Lima on Friday insisted that she would fight for her freedom by arguing against the “fabricated” cases filed against her by the Department of Justice in court.,13.0,13.0,13.0,4.0,4.0
 The former lawmaker released a dispatch on Friday in reaction to Justice Secretary Jesus Crispin Remulla’s statement that he was open to de Lima’s application for bail if it is based on humanitarian grounds and not on the merits of the drug cases against her.,13.0,5.0,5.0,4.0,4.0
" “I will gain my freedom on the merits, because the DOJ has no case against me from the very beginning,” said De Lima.",5.0,4.0,4.0,12.0,4.0
" Although she was grateful for Remulla’s concern, especially after she was taken hostage in her cell at the Philippine National Police custodial center, de Lima said she “cannot thank him as the head of the agency that is primarily responsible for the fabrication of the charges” against her.",7.0,7.0,7.0,6.0,6.0
" De Lima emphasized that the charges filed against her during President Rodrigo Duterte's administration are “maintained, to date.”",7.0,5.0,5.0,4.0,12.0
" “Justice and freedom for me are long overdue,” she ended.",4.0,4.0,4.0,3.0,4.0
" In an interview on Thursday, Remulla said the DOJ would support De Lima's bail based on humanitarian grounds not on the merits or demerits of the cases.",5.0,5.0,5.0,11.0,4.0
" “Bail as a matter of humanitarian ground as a humanitarian gesture is what we support here in the DOJ, not on the merits or demerits of the cases because six years is a long time to be detained while undergoing trial,” said Remulla.",5.0,5.0,5.0,9.0,4.0
" “I think it is very clear we want to give her a fair shake no matter what and maybe a respite from detention, but her lawyers think otherwise. And that they should take advantage of this opportunity to say she’s innocent and that’s why she should be granted bail. Malayo ho yan. Two big things that are far apart from each other,” he explained.",4.0,5.0,4.0,3.0,4.0
" Earlier this week, De Lima’s lawyer said one of the remaining drug cases against the former senator had been submitted for decision while their petition for bail over the other case at the Muntinlupa Regional Trial Court Branch 256 is still pending.",5.0,5.0,5.0,4.0,4.0
" In February 2021, the Muntinlupa City RTC Branch 205 junked one of the three drug cases against De Lima.",7.0,7.0,7.0,4.0,4.0
 De Lima was accused of benefiting financially from the illegal drug trade inside the New Bilibid Prison during her stint as Justice Secretary. She has repeatedly denied the allegation.,7.0,7.0,7.0,6.0,6.0
"‘Adik, 'durugista,' 'drug abuser' are harmful labels — advocate group",9.0,9.0,11.0,8.0,8.0
" An advocate group on Friday discouraged the use of labels “adik,” “durugista,” and “drug abuser” as these have harmful consequences to the lives of concerned individuals.",9.0,9.0,12.0,8.0,8.0
" “Stigmatizing language is very harmful,” Drug Policy Reform Initiative (DPRI) lead convener Atty. Kristine Mendoza told reporters during the launch of their media toolkit in covering stories on illegal drugs.",6.0,6.0,6.0,5.0,8.0
" “Magkakaroon lang ng mindfulness, awareness of how our stories, 'yung ating framing, 'yung mga labels na ginagamit natin sa ating mga stories, can affect and can have real life consequences doon sa mga tao,"" she added.",11.0,11.0,9.0,9.0,8.0
 (We should have mindfulness and awareness of how the framing and labels we used in our stories can affect and can have real life consequences on those people.),11.0,9.0,3.0,8.0,8.0
" The DPRI, a network of advocates for humane drug policies, launched a 24-page toolkit guide for the press in covering drugs, drug use, and related issues.",9.0,6.0,11.0,8.0,6.0
" Titled as “Putting Persons First: Drug Reporting and the Media,"" the toolkit was developed by advocates and journalists.",6.0,9.0,11.0,10.0,10.0
" The toolkit listed labels such as 'adik, 'durugista', and 'drug abuser' as stigmatizing and harmful.",9.0,9.0,9.0,8.0,8.0
" According to Mendoza, using such labels reduces the multifaceted character of a human being.",11.0,9.0,11.0,2.0,2.0
" “Sa mata ng media, sa mata ng publiko, nahusgahan na siya so ‘yung real life consequences minsan kailangan na niyang lumipat na ng bahay, minsan 'yung mga anak niya hindi na makakapasok, lilipat na ng school,” she said.",11.0,10.0,10.0,9.0,9.0
" (In the eyes of the media and the public, they are already judged so the real life consequences are they have to move to another place or their children would not be able to attend classes or have to be transferred to another school.)",10.0,10.0,11.0,8.0,5.0
 The DPRI  encouraged the use of “persons who use drugs” or “persons whose lives include drugs” instead.,6.0,9.0,10.0,8.0,8.0
" It called on journalists to be sensitive in interviewing concerned persons  by avoiding the exploitation of grief and trauma, adopting  tone, and not baiting them to confess.",10.0,10.0,10.0,10.0,12.0
 Mendoza also advised reporters to question the assumption of a drug problem and urged them to break the notion of equating drug use to crime.,7.0,7.0,7.0,6.0,6.0
" ""Contrary to popular narrative, evidence shows that the majority of people who use drugs do so in a non-problematic manner and do no harm to self and others,"" she said.",9.0,4.0,11.0,10.0,3.0
 Mendoza also noted that individuals accused of illegal drugs violations are innocent until proven guilty.,4.0,7.0,4.0,6.0,4.0
" “We have to remember: Innocent until proven guilty. Hangga't walang hatol, you are just suspects. Those things were just alleged, perceived, suspected. Wala pang facts, evidence. Parang trial by publicity,” she said.",4.0,4.0,4.0,3.0,4.0
" (We have to remember: Innocent until proven guilty. As long as there is no verdict, you are just suspects. Those things were just alleged, perceived, suspected. There is no facts and evidence yet. It is like a trial by publicity.)",4.0,4.0,4.0,3.0,4.0
Poe warns another ‘gargantuan’ backlog in LTO amid driver’s license card shortage,2.0,2.0,2.0,1.0,4.0
 Senate public  chairperson Grace Poe on Friday warned of another “gargantuan backlog” in the Land Transportation Office (LTO) amid the shortage of plastic cards for driver’s license.,13.0,13.0,13.0,12.0,12.0
" In a statement, Poe urged the Department of Transportation to implement timely intervention to end the issue as she emphasized the need to nip the problem in the bud.",13.0,13.0,13.0,4.0,12.0
" “Issuing a license printed on paper is prone to wear and tear, tampering, and  the security of the holder,” Poe said.",5.0,5.0,5.0,4.0,4.0
" “Isa ang driver’s license sa mga government-issued IDs na karaniwang ginagamit sa iba’t ibang transaksyon. Pera ng ating mga kababayan ang pinambayad d’yan. Bigyan naman natin sila ng tama at kagalang-galang na lisensya, hindi lang kapirasong papel,” she added.",5.0,5.0,5.0,4.0,4.0
" (Driver’s license is one of the government-issued IDs usually used in different transactions. Our countrymen paid money for that license. We should give them the proper and decent license, not a piece of paper.)",5.0,5.0,5.0,4.0,4.0
" To recall, LTO faced backlash after it failed to produce millions of license plates for registered vehicles in the country.",1.0,12.0,12.0,12.0,12.0
" Poe mentioned the law that was passed in 2017 extending the validity of driver’s license to five to 10 years to incentivize drivers, cut red tape, and give them an identification card which they can use conveniently for official transactions.",6.0,6.0,6.0,5.0,4.0
" “The inconvenience hounding our motorists due to the unavailability of the license cards defeats the purpose of the law,” said Poe.",6.0,5.0,5.0,4.0,4.0
" On Thursday, LTO announced that it will print out drivers’ license on paper due to the shortage of plastic cards.",1.0,2.0,1.0,4.0,4.0
 Some licensing offices like Pasay and Quezon City still have plastic cards but not enough for the thousands who will apply for new ones or renew their licenses in the months ahead.,5.0,6.0,5.0,5.0,4.0
" According to LTO chief Jayart Tugade, there are only over 140,000 plastic cards nationwide. He said his office estimated the available cards will not be sufficient to meet the demand.  In December last year, the LTO asked to procure additional five million cards which will cost P249 million.",1.0,1.0,1.0,0.0,0.0
"AFP calls alleged torture, killing of CPP leaders Benito, Wilma Tiamzon by military ‘fictitious’",7.0,7.0,7.0,6.0,6.0
 The Armed Forces of the Philippines (AFP) on Friday denied the report of the Communist Party of the Philippines (CPP) that rebel leaders Benito and Wilma Tiamzon were allegedly tortured and killed by the military.,8.0,8.0,8.0,7.0,12.0
" “Who is Marco Valbuena? He is a fictitious person telling fictitious stories to deceive our people,” AFP spokesperson Colonel Medel Aguilar said in a message to reporters.",11.0,4.0,4.0,12.0,12.0
" “That’s how I describe 'its' (I cannot use he or she in referring to a 'digital person') press release and we are happy that our people today are well aware of the truth to believe its poisonous tongue,” he added.",11.0,4.0,3.0,3.0,10.0
" In a separate statement, Aguila said the CPP’s allegations are “propaganda” and “attempt to deceive” Filipinos.",12.0,5.0,5.0,12.0,12.0
" “Their allegations of capture and torture are part of their propaganda and an attempt to deceive the Filipino people,” he said.",7.0,4.0,7.0,2.0,6.0
" “What happened in the August 2022 operation was a legitimate encounter acting on information that VIPs of CPP-NPA were escaping from ongoing military operations,” he added.",8.0,8.0,5.0,7.0,6.0
" According to Aguilar, the AFP did not have the evidence to confirm the death of the Tiamzon couple during the operation.",7.0,7.0,7.0,6.0,4.0
" On Thursday, CPP spokesperson Marco Valbuena confirmed the deaths of its leaders Benito and Wilma and eight others in a military operation in Catbalogan City, Samar on August 21, 2022.",13.0,7.0,7.0,12.0,12.0
" He said the couple was unarmed when arrested in Catbalogan City, were tortured, and then killed.",7.0,7.0,7.0,6.0,6.0
" ""The already lifeless bodies of the Tiamzons and their group were dumped on a motorboat filled with explosives, and tugged from Catbalogan midway towards Taranganan island before it was detonated,"" he said.",7.0,9.0,9.0,6.0,6.0
" ""Only eight bodies were subsequently retrieved by the military,"" he added.",9.0,9.0,9.0,7.0,7.0
" The AFP on August 22, 2022, reported the explosion of a motorized boat during an encounter with government troops off Catbalogan City.",8.0,9.0,7.0,12.0,12.0
 Joint Task Force Storm Commander Major General Edgardo De Leon said visual estimates using night vision goggles showed that there were no more than 10 people onboard.,8.0,8.0,8.0,6.0,6.0
 Aguilar said CPP’s declaration on the deaths of the Tiamzon couple showed “the weakness of the underground organization being leaderless at the national level.”,12.0,7.0,13.0,11.0,4.0
" In December 2022, CPP founding chairman Jose Maria “Joma” Sison, who has been in self-exile in the Netherlands since 1987, passed away.",10.0,13.0,11.0,12.0,12.0
" On April 17, 2023, alleged CPP leader Eric Jun Casilao was intercepted by Malaysian authorities at the Langkawi Immigration check-in counter.",8.0,7.0,7.0,6.0,6.0
"Marcos, Biden to have bilateral talks next month",13.0,13.0,13.0,12.0,12.0
" President Ferdinand ""Bongbong"" Marcos Jr. will have a bilateral meeting with United States President Joe Biden at the White House next month.",14.0,13.0,13.0,12.0,12.0
" This was announced by White House Press Secretary Karine Jean-Pierre on Thursday, April 20, noting that the two leaders will strengthen the longstanding relations of their countries.",14.0,13.0,13.0,12.0,12.0
" ""On May 1, President Joe Biden will host Philippine President Ferdinand R. Marcos Jr. for a bilateral meeting at the White House,"" Jean-Pierre said in a statement.",14.0,13.0,13.0,12.0,12.0
" ""During the visit, President Biden will reaffirm the United States’  to the defense of the Philippines, and the leaders will discuss efforts to strengthen the longstanding US-Philippines alliance,"" she added.",14.0,14.0,13.0,12.0,12.0
 The White House said Biden and Marcos would tackle regional matters and coordinate on efforts that will uphold international law and promote a free and open Indo-Pacific.,13.0,13.0,13.0,12.0,12.0
 The bilateral meeting will be conducted after the additional Enhanced Defense Cooperation Agreement (EDCA) sites were announced by the Philippine government early this month.,14.0,13.0,13.0,12.0,4.0
 It will be held as the tension between the US and China escalates due to the issue in Taiwan. China claims democratically governed Taiwan as its own territory.,14.0,14.0,14.0,13.0,4.0
" The leaders will also review opportunities ""to deepen economic cooperation and promote inclusive prosperity, expand our nations’ special people-to-people ties, invest in the clean energy transition and the fight against climate change, and ensure respect for human rights,"" according to the White House.",14.0,1.0,1.0,12.0,12.0
" According to the Presidential Communications Office (PCO), Marcos' meeting with Biden will be followed by an expanded meeting with key Cabinet officials.",13.0,13.0,13.0,12.0,12.0
" ""The visit will reaffirm the bonds of friendship that give definition and significance to the many facets of the bilateral relationship, underpinned by the close affinity shared by Filipinos and Americans alike for many years,"" the PCO said in a separate statement.",14.0,11.0,14.0,11.0,12.0
" ""It will substantively progress efforts to further deepen relations and political ties, to bring about lasting socio-economic partnerships, as well as to enhance defense and security cooperation,"" it added.",14.0,14.0,13.0,0.0,12.0
" During the visit, Marcos is expected to advance the Philippines’ socio-economic and development priorities and harness closer partnership in such areas as agriculture, energy, climate change, digital transformation and technology, humanitarian assistance and disaster relief, supply chains, and infrastructure.",14.0,1.0,1.0,0.0,12.0
" The PCO noted that the US is a major bilateral trade and official development assistance partner, and ""maintains a  with the Philippines for more dynamic economic relations.""",14.0,14.0,14.0,0.0,0.0
SC affirms acquittal of ex-AFP general Ligot of tax evasion,5.0,5.0,5.0,0.0,0.0
" The Supreme Court has affirmed a decision of the Court of Tax Appeals (CTA) acquitting retired Lieutenant General Jacinto Ligot and his wife, Erlinda, of tax evasion in connection to their P428-million tax deficiency case.",5.0,5.0,5.0,4.0,4.0
" In a 20-page decision penned by Associate Justice Henri Jean Inting, the Third Division found nothing “capricious, whimsical, or even arbitrary” in the CTA’s ruling that the prosecution failed to prove the Ligot couple’s guilt beyond reasonable doubt.",5.0,5.0,5.0,4.0,4.0
" “It is clear from the above-enumerated findings that the CTA resolved the case only after all the evidence was considered, weighed, and passed upon,” the Court said.",5.0,5.0,5.0,4.0,4.0
" “When there is no allegation or proof of mistrial, there is no need for the Court to reexamine the evidence adduced by the parties,” it added.",5.0,5.0,5.0,4.0,4.0
" The decision was promulgated on December 5, 2022 but released only on April 19, 2023.",5.0,5.0,5.0,6.0,4.0
 The case stemmed from the petition of certiorari filed by the Bureau of Internal Revenue (BIR) against the January 2019 decision of the CTA that acquitted the Ligot couple and an October 2019 resolution that denied the BIR’s motion for reconsideration.,5.0,5.0,5.0,4.0,4.0
 The BIR had accused the couple of failing to supply correct information in their  tax return and tax evasion from 2002 to 2004.,7.0,7.0,7.0,0.0,0.0
 The High Tribunal said there is no violation of the principle of the hierarchy of courts.,5.0,5.0,5.0,4.0,4.0
" The Court said that CTA Rules state that “it is the CTA En Banc which has exclusive appellate jurisdiction over decisions, resolutions or orders of the CTA Division involving criminal offenses arising from violations of the NIRC,” it said.",5.0,5.0,5.0,4.0,4.0
 The Court further said that the petition did not point to any error of the  by the CTA Third Division.,5.0,5.0,5.0,4.0,4.0
" “Here, the petitioner merely questions the CTA’s appreciation of evidence, particularly those relative to the allegations regarding the accused-respondents' undeclared  it said.",5.0,5.0,5.0,4.0,4.0
LTO to issue driver's license on paper amid plastic card shortage,5.0,2.0,1.0,4.0,4.0
 The Land Transportation Office (LTO) will print out drivers' licenses on paper due to the shortage of plastic cards.,6.0,2.0,1.0,1.0,4.0
" According to Joseph Morong's report on ""24 Oras,"" some licensing offices like Pasay and Quezon City still have plastic cards but not enough for the thousands who will apply for new ones or renew their licenses in the months ahead.",5.0,5.0,5.0,5.0,4.0
" “By next week po siguro mag-isyu na kami ng temporary. Printed na lang po sa papel,” Pasay licensing office assistant chief Dexter Frane said.",5.0,5.0,5.0,4.0,4.0
" According to LTO chief Jayart Tugade, there are only over 140,000 plastic cards nationwide. He said his office estimated the available cards will not be sufficient to meet the demand.  In December last year, the LTO asked to procure additional five million cards which will cost P249 million.",1.0,1.0,1.0,0.0,0.0
" In January 2023, the Department of Transportation (DOTr) stating that it would be in charge of the bidding for contracts whose amount were higher than P50 million. The LTO appealed the matter, but the DOTr turned it down.",1.0,1.0,5.0,4.0,4.0
" ""The procurement of the licenses, na-transfer sa DOTr. Had we been able to continue with our procurement activities, we would have sufficient plastic cards right now,"" Tugade said. ",1.0,5.0,5.0,4.0,4.0
" DOTr Secretary Jaime Bautista responded, saying, ""Dapat pinaplano 'yan eh. Merong annual procurement plan dapat. ‘Yun ay dapat pinaplano. Hindi 'yung 'pag nauubos na saka lang mag-o-order.""",1.0,13.0,13.0,12.0,12.0
 Bautista said the DOTr took the responsibility of procuring the plastic cards only this March. He also defended the department's policy to directly take charge of big contracts.,13.0,6.0,6.0,4.0,4.0
" “Itong policy na ito is ia-apply namin sa lahat ng sectors ng DOTr including government owned controlled corporations para magkaroon ng tamang control, 'yung tamang approval process. Sa mga  mayroong level of authority ang bawat officers. ‘Yun ang mga gusto namin ma-imply,” he added.",6.0,6.0,6.0,5.0,12.0
 Bautista said that the DOTr would speed up the procurement of plastic cards for LTO's use.,1.0,6.0,1.0,6.0,4.0
PNP asks for more time to validate alleged data breach — NPC,13.0,4.0,4.0,2.0,4.0
 The Philippine National Police (PNP) has requested for more time to validate if its database  the National Privacy Commission (NPC) said Thursday.,7.0,7.0,7.0,7.0,6.0
" In a statement, Privacy Commissioner John Henry Naga said the NPC gathered concerned government agencies, namely the PNP, National Bureau of Investigation (NBI), Civil Service Commission (CSC), and Bureau of Internal Revenue (BIR) to address the alleged leak of personal data involving law enforcement agencies.",7.0,7.0,8.0,6.0,6.0
" “According to representatives of said agencies, after conducting their respective investigations and vulnerability tests, the NBI, CSC, and BIR have confirmed that there were no breaches on their part and will release their respective statements to the public,” Naga said.",8.0,13.0,13.0,11.0,12.0
" “However, the Philippine National Police requested for time to validate and review its systems for possible  considering that the Police was highlight in the report alleging the data leak,” he said.",7.0,7.0,7.0,6.0,6.0
 According to a report from Jeremiah Fowler of  a supposed leak from the PNP  details of 1.2 million records of employees and applicants.,2.0,7.0,1.0,0.0,0.0
" Leaked data include documents of academic and personal history such as birth certificates, educational record transcripts, diplomas, tax filing records, passports and police identification cards.",10.0,7.0,5.0,6.0,6.0
" Copies of fingerprint scans, signatures, and required documents were also found.",5.0,7.0,5.0,4.0,6.0
" “To further investigate this matter, we issued an order to conduct an onsite investigation on the concerned data processing system of PNP on 24 April 2023 headed by the Complaints and Investigation Division of this Commission,” Naga said.",7.0,7.0,7.0,6.0,6.0
" The Privacy chief said the NPC also ordered Fowler, the cybersecurity researcher who published the article alleging the data breach, to appear before this agency on April 21 to aid in its investigation.",5.0,5.0,5.0,6.0,4.0
" “The recent allegations of a data breach involving law enforcement agencies in the country should serve as a reminder that no organization, not even the government, is immune to the threat of cyberattacks and that we should remain in constant vigilance in protecting personal data,” Naga said.",8.0,7.0,7.0,7.0,4.0
" “I call on all government agencies and private sectors processing personal data to review the implementation of their data privacy and security measures. It is not enough to  with existing regulations and standards; we must also proactively identify and address potential vulnerabilities,” he said.",8.0,6.0,5.0,5.0,12.0
"DICT’s cybersecurity arm probes PNP, NBI database breach",8.0,8.0,8.0,7.0,7.0
 The Department of Information and Communications Technology (DICT) is now investigating the alleged data breach involving the database of law enforcement agencies.,7.0,7.0,7.0,6.0,6.0
" In a statement on Thursday, the DICT said through the Philippine National Computer Emergency Response Team (NCERT) of its Cybersecurity Bureau, it “has doubled down on its investigation on the matter.”",8.0,7.0,5.0,11.0,12.0
" The agency said the NCERT started its investigation on the alleged breach after receiving links to an Azure blob storage containing sample photos of IDs, including Philippine National Police (PNP) and National Bureau of Investigation (NBI) clearances, from a security researcher last February 22, 2023.",8.0,7.0,7.0,6.0,6.0
 “The said security researcher did not disclose to NCERT the source of the data and what information asset  the DICT said.,8.0,8.0,8.0,7.0,4.0
" “Further, the information sent by the security researcher is identical to what was reported by Mr. Jeremiah Fowler and which has since been credited by recent news reports,” it added",8.0,11.0,11.0,7.0,12.0
 According to a report from Fowler of  a supposed leak from the PNP  details of 1.2 million records of employees and applicants.,1.0,1.0,1.0,0.0,0.0
" Leaked data include documents of academic and personal history such as birth certificates, educational record transcripts, diplomas, tax filing records, passports, and police identification cards.",10.0,7.0,5.0,6.0,6.0
" Copies of fingerprint scans, signatures, and required documents were also found.",5.0,7.0,5.0,4.0,6.0
" “The NCERT provided an incident report regarding the alleged breach to both the PNP and the NBI between 3 – 23 March 2023,” the DICT said.",8.0,7.0,7.0,4.0,4.0
" The agency said it considers the incident as a “grave concern that threatened the confidentiality, integrity, and privacy of user data.”",8.0,5.0,5.0,7.0,4.0
" “The Department assures the public that investigation on the matter is underway,” it said.",7.0,7.0,5.0,4.0,4.0
 The DICT also urged all government agencies to increase its cybersecurity measures and to coordinate with them for further capacity building in this area.,8.0,6.0,8.0,13.0,12.0
"CPP: Benito and Wilma Tiamzon, 8 others tortured, killed by AFP",7.0,7.0,7.0,6.0,6.0
 The Communist Party of the Philippines has confirmed the deaths of its leaders Benito and Wilma Tiamzon in August 2022.,13.0,13.0,13.0,12.0,12.0
" In a statement, the CPP said the Tiamzons were arrested along with several other party members on August 21, 2022.",13.0,7.0,7.0,6.0,12.0
" Marco Valbuena, chief information officer of the CPP, said the couple was unarmed when arrested in Catbalogan City, were tortured, and then killed.",7.0,7.0,7.0,6.0,6.0
" ""The already lifeless bodies of the Tiamzons and their group were dumped on a motorboat filled with explosives, and tugged from Catbalogan midway towards Taranganan island before it was detonated,"" Valbuena said.",7.0,9.0,9.0,11.0,6.0
" ""Only eight bodies were subsequently retrieved by the military,"" he added.",9.0,9.0,9.0,7.0,7.0
