Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
MANILA – President Ferdinand R. Marcos Jr. believes that well-studied infrastructure projects from previous administrations must continue for the benefit of the nation.,1. Economic,13. Political,13. Political,13. Political
"Warm, humid weather to prevail across PH",15. Other,10. Quality of Life,10. Quality of Life,10. Quality of Life
"MANILA – The Land Bank of the Philippines (Landbank) is working to accelerate the adoption of cashless payments in public markets by providing market vendors, consumers, and local transport drivers with bank accounts capable of sending and receiving funds through a Quick Response (QR) code.",10. Quality of Life,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
MANILA – Department of the Interior and Local Government (DILG) Secretary Benjamin “Benhur” Abalos Jr. said they will be utilizing the Philippine Basketball Association (PBA) in the ongoing campaign against illegal drugs.,"7. Law and Order, Crime and Justice",2. Capacity and Resources,11. Cultural Identity,False
"Revilla urges NegOr solon to come home, face accusations",13. Political,13. Political,13. Political,13. Political
CCC backs bill regulating use of single-use plastics,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"PH vows to elevate maritime education, training system",10. Quality of Life,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"DepEd, NTF-ELCAC warn teachers, youth vs. front groups' agitators",13. Political,13. Political,8. Security and Defense,13. Political
MANILA – The Department of Justice (DOJ) said prosecutors will decide based on evidence and not speculation the cases against Negros Oriental 3rd District Rep. Arnolfo Teves Jr.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice"
"MANILA – The Department of Agriculture (DA) has received 10,000 bags of milled rice from the Ministry of Agriculture, Food, and Rural Affairs of South Korea, as aid to calamity-stricken families in the country.",14. External Regulation and Reputation,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
PNP probes alleged involvement of cops in N. Vizcaya ambush,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
PH daily average of Covid-19 cases up by 42%,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
PH Army troops attain professional growth in 'Salaknib' drills,8. Security and Defense,2. Capacity and Resources,8. Security and Defense,8. Security and Defense
MANILA – The Bureau of Immigration (BI) on Tuesday reported the arrest of a German national wanted by authorities in Berlin for murder.,14. External Regulation and Reputation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – Senator Imee Marcos suggested on Monday to revive the Self-Reliant Defense Posture (SRDP) Program initiated in 1974 by her father, the late President Ferdinand Marcos Sr.",13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA – Warm and humid weather will prevail across the archipelago, the weather bureau said Thursday.",15. Other,10. Quality of Life,10. Quality of Life,10. Quality of Life
"MANILA – President Ferdinand R. Marcos Jr. on Wednesday said the Philippine Coast Guard (PCG) will continue to take the lead role in the government's ongoing operation to contain the oil spill in Oriental Mindoro, dismissing any reorganization efforts to address the issue.",9. Health and Safety,13. Political,10. Quality of Life,False
"DOJ seeks closer coordination with police, fiscals",1. Economic,"7. Law and Order, Crime and Justice",8. Security and Defense,False
MANILA – AGRI Party-list Rep. Wilbert Lee on Wednesday said he has filed a measure which seeks to extend the availment period of the estate tax amnesty for two years to provide taxpayers an adequate period to settle their tax dues.,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA – The Supreme Court (SC) has cleared television host Ferdinand ""Vhong"" Navarro in the rape and acts of lasciviousness charges filed against him by starlet Deniece Cornejo for lack of probable cause.","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
PVAO exec calls for military veterans’ old-age pension hike,10. Quality of Life,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
Australian Deputy PM pays courtesy call on Marcos,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
MANILA – The Philippine Coconut Authority (PCA) assured Tuesday of the continuous expansion and modernization of the country’s coconut industry.,1. Economic,1. Economic,1. Economic,1. Economic
"MANILA – Filipino and American troops participating in this year's ""Salaknib"" military exercises took a break from their war training and donated some 435 bags of blood on March 25.",8. Security and Defense,2. Capacity and Resources,14. External Regulation and Reputation,False
PCSO eyes bigger revenues from sweepstakes vs. malnutrition,1. Economic,2. Capacity and Resources,10. Quality of Life,False
PCA vows improved coconut production via modernization,2. Capacity and Resources,1. Economic,1. Economic,1. Economic
PBBM's 'Pambansang Pabahay’ empowers LGUs to address housing gaps,10. Quality of Life,2. Capacity and Resources,10. Quality of Life,10. Quality of Life
"AFP won’t tolerate ‘scalawags, misfits’ in ranks",4. Fairness and Equality,8. Security and Defense,8. Security and Defense,8. Security and Defense
MANILA – Dengue cases in the country has increased by 69 percent from Jan. 1 to 28 this year.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA – Senior Deputy Majority Leader and Ilocos Norte First District Representative Ferdinand Alexander “Sandro” Marcos on Tuesday said the ratification of the Regional Comprehensive Economic Partnership (RCEP) agreement would help boost the local industries, particularly the micro, small and medium enterprises (MSMEs).",1. Economic,1. Economic,1. Economic,1. Economic
MANILA – The Philippine National Police (PNP) on Monday said it is now looking into the alleged involvement of police officers in Sunday's ambush in Nueva Vizcaya that killed a town vice mayor in Cagayan and five others.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Maynilad sets P178-B wastewater program,1. Economic,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Lawmakers express concern, urge reforms over PNPA",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA – A lawmaker on Monday said teachers should be protected from threats of false and malicious accusations of child abuse if they are exercising their disciplining authority within the bounds of law, good morals, good customs and public order.",10. Quality of Life,8. Security and Defense,6. Policy Prescription and Evaluation,False
"MANILA – Nine confidential informants received cash rewards totaling PHP7.96 million from the Philippine National Police (PNP) for helping law enforcers arrest nine most wanted persons, including members of the New People’s Army (NPA), a police official said on Saturday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
1.2K cops to secure ASEAN education execs' meet in Mandaluyong,8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
MANILA – The Department of Labor and Employment (DOLE) continues to monitor profiled child laborers to facilitate their removal from child labor.,10. Quality of Life,"7. Law and Order, Crime and Justice",8. Security and Defense,False
"MANILA – President Ferdinand R. Marcos Jr. on Tuesday led the oath-taking of newly-elected officers of the Publishers Association of the Philippines, Inc. (PAPI), thanking them for promoting and protecting people’s rights through accurate information and free press.",13. Political,13. Political,13. Political,13. Political
MANILA – President Ferdinand R. Marcos Jr. has ordered the Department of Environment and Natural Resources (DENR) to speed up the oil spill cleanup in the affected areas in Oriental Mindoro.,13. Political,13. Political,10. Quality of Life,13. Political
"MANILA – President Ferdinand R. Marcos Jr. on Tuesday said his visit to Washington, D.C. was vital to strengthen the alliance between the Philippines and the United States, especially during ""turbulent times.""",14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – The Commission on Elections (Comelec) on Thursday urged the over 43,000 registered voters in Barangay Muzon, San Jose del Monte, Bulacan province to participate in the March 25 plebiscite that will divide the mother barangay into four barangays.",13. Political,6. Policy Prescription and Evaluation,13. Political,13. Political
NCSC debunks report of 3K pension for elderlies,1. Economic,13. Political,13. Political,13. Political
House pushes for specialty centers in hospitals in every region,10. Quality of Life,9. Health and Safety,9. Health and Safety,9. Health and Safety
ULAP exec urges LGUs to support individuals with autism,10. Quality of Life,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
"MANILA – President Ferdinand R. Marcos Jr. said Thursday his five-day official visit to the United States has yielded at least USD1.3 billion (PHP71.8 billion) worth of investment pledges that have the potential to create about 6,700 new jobs for Filipinos.",14. External Regulation and Reputation,1. Economic,2. Capacity and Resources,False
PH keeps tight watch over growing Taiwan Strait tensions,14. External Regulation and Reputation,8. Security and Defense,8. Security and Defense,8. Security and Defense
MANILA – The Department of Tourism (DOT) on Monday advised airline passengers to be at the airport early or more than three hours before their scheduled flight.,15. Other,10. Quality of Life,10. Quality of Life,10. Quality of Life
Fishing ban in Visayan Sea now lifted: BFAR,1. Economic,10. Quality of Life,2. Capacity and Resources,False
9 AFP senior officers promoted to higher rank,15. Other,13. Political,2. Capacity and Resources,False
MANILA – The Commission on Higher Education (CHED) said Thursday it proposed a nursing curriculum with exit credentials to help address the declining supply of nurses in the country.,10. Quality of Life,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
MANILA – An official of the National Task Force to End Local Communist Armed Conflict (NTF-ELCAC) on Wednesday lauded the Commission on Human Rights' (CHR) condemnation of the New People's Army (NPA) over its continued use of improvised explosive devices (IEDs).,13. Political,8. Security and Defense,8. Security and Defense,8. Security and Defense
AFP deputy chief of staff Reyes retires after 38 years of service,15. Other,15. Other,2. Capacity and Resources,15. Other
CIDG seizes P2.1-M counterfeit hygiene products in Malabon,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MANILA – The Department of the Interior and Local Government (DILG) on Saturday said a contingency plan is in place to respond to the looming El Niño that experts forecast to occur in  months.,9. Health and Safety,10. Quality of Life,10. Quality of Life,10. Quality of Life
"MANILA – Philippine Army (PA) chief Lt. Gen. Romeo Brawner Jr. said this year's iteration of Exercise ""Salaknib"" with American troops will greatly bolster its ongoing shift from internal to territorial defense.",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
"BI receives hold departure order vs. Bantag, Zulueta","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – A bill seeking to institutionalize teaching supply allowances for public school teachers nationwide to promote and improve the economic status of teachers, and assist them in providing quality education to their students is now pending for second reading after being introduced at the Senate plenary on Tuesday.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Cops seize P747-M narcotics in first 45 days of 2023,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MANILA – Senate President Pro Tempore Loren Legarda has called for the development of sustainable water management as she also urged women worldwide to lead campaigns in water preservation to help address the global water crisis.,10. Quality of Life,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"MANILA – The Department of the Interior and Local Government (DILG) said its preparations are underway for the ""Buhay Ingatan, Droga Ayawan (BIDA) Bayanihan ng Mamamayan Fun Run"" at the Quirino Grandstand in Manila on Feb. 26",11. Cultural Identity,15. Other,11. Cultural Identity,11. Cultural Identity
PNP links security head of Teves sugar mill to Degamo slay,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
92 new DILG lawyers urged 'to serve the people well',10. Quality of Life,3. Morality,2. Capacity and Resources,False
MANILA – The House of Representatives on Monday approved on second reading a measure providing preferential appointment to government employees and officers holding valid appointments to new positions in the implementation of government reorganization.,10. Quality of Life,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
BI issues reminders to outbound travelers ahead of Holy Week,15. Other,10. Quality of Life,3. Morality,False
"PAF, US aircraft do a 'Top Gun' as part of 'Balikatan'",15. Other,8. Security and Defense,8. Security and Defense,8. Security and Defense
MIAA vows to address long immigration queues at NAIA,10. Quality of Life,13. Political,10. Quality of Life,10. Quality of Life
"MANILA – More than 300 Filipinos from violence-stricken Sudan have safely crossed the border and are now on Egyptian soil, the Department of Foreign Affairs (DFA) said Thursday amid ongoing rapid evacuation efforts to extract more nationals.",14. External Regulation and Reputation,8. Security and Defense,10. Quality of Life,False
"Abalos heads task force to maintain peace, order in Negros","7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense,8. Security and Defense
PBBM eyes purchase of Japan-made vehicles for military use,8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
I-ACT to deploy roving patrols along EDSA Busway,10. Quality of Life,"7. Law and Order, Crime and Justice",10. Quality of Life,10. Quality of Life
Graft court orders arraignment of state pharma firm exec,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA – President Ferdinand R. Marcos Jr. and Vice President Sara Duterte received high approval and trust ratings in March, according to a Pulse Asia survey released Wednesday.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"PH, S. Korea hold bilateral talks, reaffirm strong partnership",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
DENR: Environmental damage due to oil spill estimated at P7B,15. Other,1. Economic,2. Capacity and Resources,False
Marcos: Gov't to prioritize agri sector to back growth,1. Economic,1. Economic,2. Capacity and Resources,1. Economic
"MANILA – The Commission on Elections (Comelec) said it would use the ballots printed for the Dec. 5, 2022 Barangay and Sangguniang Kabataan Elections (BSKE) for the polls reset to Oct. 30 this year.",12. Public Opinion,2. Capacity and Resources,13. Political,False
PAGASA: Recent rainfall didn't raise dams' water level,15. Other,10. Quality of Life,10. Quality of Life,10. Quality of Life
"MANILA – President Ferdinand R. Marcos Jr.'s visit to Washington DC has laid the framework for  from both the private sector and civil society for greater cooperation and partnership in the development and economy of the Philippines, former US Ambassador to the Philippines John Negroponte said Tuesday.",14. External Regulation and Reputation,14. External Regulation and Reputation,1. Economic,14. External Regulation and Reputation
MANILA – The Department of Labor and Employment (DOLE) said the results of the Philippine Statistics Authority Labor Force Survey (LFS) for February reflects the continuous improvement in the employment situation.,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Surrender for your safety, Pasay mayor tells escaped detainees","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – The national government will continue to  affected by the transport strike through its “Libreng Sakay” (free ride) program, Malacañang said Monday.",15. Other,10. Quality of Life,10. Quality of Life,10. Quality of Life
"BI, consular corps ink pact to assist foreigners in PH",14. External Regulation and Reputation,14. External Regulation and Reputation,10. Quality of Life,14. External Regulation and Reputation
"PNP gets P300-M fund for cops' continuing education, training",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
MANILA – President Ferdinand R. Marcos Jr. has issued an administrative order (AO) creating an inter-agency task force to prepare for the country’s hosting of the FIBA Basketball World Cup 2023.,11. Cultural Identity,6. Policy Prescription and Evaluation,13. Political,False
MANILA -- Senate President Pro Tempore Loren Legarda on Thursday urged the public to fully cooperate with the government in implementing ecological laws to attain sustainable life.,10. Quality of Life,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life
MANILA – House Committee on Constitutional Amendments chair Rufus Rodriguez on Friday  the assessment made by Fitch Solutions that highlighted the country’s need for Charter changes to attract more foreign investments.,14. External Regulation and Reputation,1. Economic,1. Economic,1. Economic
MIAA inks deal with GrabFood for fast delivery during disruptions,10. Quality of Life,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
NBI nabs 4 for peddling fraudulent GCash accounts,8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MANILA – The Philippine Drug Enforcement Agency (PDEA) destroyed on Thursday a total of PHP19.9 billion worth of dangerous drugs and controlled precursors and essential chemicals (CPECs) in Cavite.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – The Senate leadership is looking to forge more partnerships with Japan, particularly the Reciprocal Access Agreement (RAA) and a United States-like Visiting Forces Agreement (VFA).",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – The senior prison official, who was charged together with suspended Bureau of Corrections (BuCor) chief Gerald Bantag, has formally refuted all allegations that they have something to do with the killing of broadcaster Percival ""Ka Percy Lapid"" Mabasa in October last year.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – The Office of Civil Defense (OCD) said the Philippine Emergency Medical Assistance Team (PEMAT), which is part of the 82-man Philippine Inter-Agency Humanitarian Contingent (PIAHC), has so far served and treated 938 Turkish patients as of Thursday (local time).",14. External Regulation and Reputation,9. Health and Safety,9. Health and Safety,9. Health and Safety
MANILA – President Ferdinand R. Marcos Jr. on Saturday vowed justice for the killing of Negros Oriental Governor Roel Degamo.,"7. Law and Order, Crime and Justice",13. Political,3. Morality,False
MMDA lifts number coding scheme Monday due to transport strike,10. Quality of Life,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life
"MANILA – The subsidiary Boracay Water recently spearheaded  a project under the ""Tubig Para sa Barangay” (TPSB) program, which aims to provide sustainable water to  households in Boracay Island in Malay, Aklan province.",10. Quality of Life,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
DMW assures aid for OFWS from Sudan who wanted to go back abroad,2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
PCSO grants P34-M aid to 5.1K indigents in 5 days,10. Quality of Life,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
PBBM to appoint 'competent personalities' who lost in 2022 polls,13. Political,13. Political,13. Political,13. Political
"MANILA – The government has stepped up efforts to convert the country’s dependence of water supply from underground water to surface water, President Ferdinand R. Marcos Jr. said Monday.",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Parts of Rizal, Marikina waterless April 26-27",15. Other,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Solon wants proactive gov't action vs. future avian flu outbreaks,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"CIDG nabs Teves' secretary, 5 others in search warrant ops",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Human rights defenders' bill threat to PH democracy: NTF-ELCAC,6. Policy Prescription and Evaluation,8. Security and Defense,4. Fairness and Equality,False
MANILA – Farmers in Pampanga province will soon receive their own land titles as the Department of Agrarian Reform (DAR) irons out the distribution of about 310-hectare unused government-owned lands (GOL).,10. Quality of Life,10. Quality of Life,4. Fairness and Equality,10. Quality of Life
"PBBM ‘on the right track’ to put PH in center of biz, trade: exec",1. Economic,1. Economic,1. Economic,1. Economic
DOH: New strategies in place to intensify Covid-19 vaccination,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
MANILA – Criminal Investigation and Detection Group (CIDG) personnel arrested 16 wanted persons during a two-day simultaneous anti-criminality campaign.,8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – The Senate Committee on Foreign Relations on Tuesday opened discussions on the Double Taxation Avoidance (DTA) agreement that was signed by the Philippines and Brunei Darussalam on July 16, 2021.",14. External Regulation and Reputation,14. External Regulation and Reputation,6. Policy Prescription and Evaluation,14. External Regulation and Reputation
Abalos: CCTV footage of P6.7-B drug haul speaks for itself,8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Marcos vows to boost quality of jobs in PH,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"MANILA – President Ferdinand R. Marcos Jr. on Wednesday extended birthday greetings to former president Gloria Macapagal-Arroyo, thanking the incumbent House of Representatives Deputy Speaker for her “advice” and “guidance” on the presidency.",15. Other,13. Political,13. Political,13. Political
MANILA – President Ferdinand R. Marcos Jr. has signed an administrative order creating an  for  of the 125th anniversary of Philippine independence and nationhood.,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity
BI boosts anti-trafficking drive with creation of TikTok account,"7. Law and Order, Crime and Justice",8. Security and Defense,11. Cultural Identity,False
Passage of Bangsamoro Electoral Code hailed,12. Public Opinion,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
MANILA – The dry run of the exclusive motorcycle lane along Commonwealth Avenue is extended for another week to give way to the road patching works and for motorists to get familiar with the new policy.,10. Quality of Life,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life
MANILA – President Ferdinand R. Marcos Jr. on Tuesday called on the Pag-IBIG Fund to assist concerned agencies in addressing the country’s housing backlog of more than 6.5 million.,1. Economic,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
TD Amang likely to bring rains till Friday,15. Other,10. Quality of Life,10. Quality of Life,10. Quality of Life
MANILA – The Bureau of Immigration (BI) on Wednesday said a  has been made for the creation of a one-stop-shop for the processing of special chartered flights.,10. Quality of Life,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life
"Big-time drug peddler nabbed, P3.4-M shabu seized in QC",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – Justice Secretary Jesus Crispin Remulla on Tuesday said more reforms will be implemented in  days for the prosecution service, including plans to forge closer cooperation in the case buildup stage to ensure quality indictments.","7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
"Rain showers seen in many parts of PH due to ‘amihan,’ shear line",15. Other,10. Quality of Life,10. Quality of Life,10. Quality of Life
Marcos: Gov’t to persevere until it ends poverty,4. Fairness and Equality,10. Quality of Life,10. Quality of Life,10. Quality of Life
PNP chief wants 3-minute response scheme institutionalized,10. Quality of Life,6. Policy Prescription and Evaluation,8. Security and Defense,False
"PH, Sweden finalizing framework for defense materiel acquisition",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – A 20-year-old man posing as a police officer was arrested in Makati City, Southern Police District (SPD) Director, Brig. Gen. Kirby John Kraft said on Monday.",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – The Office of Civil Defense (OCD) said it has yet to receive reports concerning major damage following the magnitude 6.0 earthquake that rocked Batuan, Masbate early Thursday.",1. Economic,8. Security and Defense,10. Quality of Life,False
"MANILA – A chartered flight under probe for suspected involvement in human trafficking has obtained necessary clearances, including Airport Police Department’s (APD) assistance, the Manila International Airport Authority (MIAA) said Thursday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – The Department of Social Welfare and Development (DSWD) on Saturday distributed food assistance to former members of groups affiliated with the Communist Party of the Philippines-New People’s Army-National Democratic Front (CPP-NPA-NDF) at the Munting Nayon covered court in Bagong Silang, Caloocan City.",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
GSIS to release pensions ahead of regular schedule,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
MANILA – Five of 10 detainees who escaped from the Malibay Police Sub-Station 6 detention facility in Pasay City before dawn Monday will be safer if they surrender.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Solon bats for free dialysis treatment for senior citizens,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Easterlies to bring some clouds, scattered rains",15. Other,10. Quality of Life,10. Quality of Life,10. Quality of Life
"MANILA – The Department of Justice (DOJ) on Monday announced new guidelines for prosecutors' reducing the  bail for temporary liberty in criminal cases at PHP10,000 for indigents.",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
PH calls for peaceful resolution as Ukraine war enters 2nd year,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Transport groups end strike after Palace meeting,10. Quality of Life,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
MANILA – The Bureau of Customs (BOC) has recognized its Customs Intelligence and Investigation Service (CIIS) for the “strategic execution” of the agency’s anti-smuggling operations that led to multiple successful apprehensions.,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA – With 290 votes, the House of Representatives on Monday unanimously approved on third and final reading House Bill No. 7355 which seeks the creation of the Negros Island Region (NIR) in the Visayas.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA – The northeast monsoon and shear line will cause rains across Luzon and the Visayas on Tuesday, the weather bureau said.",15. Other,10. Quality of Life,10. Quality of Life,10. Quality of Life
"MANILA – The Philippine Army (PA)'s First Scout Ranger Regiment (FSRR) is taking care of the mental health of its officers and enlisted personnel through its ""behavioral hygiene hub"" (BHH) at Camp Tecson in San Miguel town, Bulacan province.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA – President Ferdinand R. Marcos Jr. on Monday led the launch of the “Kadiwa ng Pangulo” program at the Cebu Provincial Capitol grounds in Cebu City, the rebranded version of the “Kadiwa ng Pasko” bazaar that sells food and agricultural products at a cheaper price.",11. Cultural Identity,2. Capacity and Resources,13. Political,False
"MANILA – Philippine Army (PA) troops in this year's ""Salaknib"" exercises have grown professionally after receiving advanced weapons training.",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
Marcos leads launch of rebranded Kadiwa ng Pangulo store in Cebu,11. Cultural Identity,2. Capacity and Resources,13. Political,False
MANILA – The Philippines and India have renewed  to further enhancing their defense cooperation during the 4th Joint Defense Cooperation Committee (JDCC) and 2nd Service-to-Service (STS) Meeting held in New Delhi on March 31.,14. External Regulation and Reputation,8. Security and Defense,14. External Regulation and Reputation,14. External Regulation and Reputation
MANILA – The Office of Civil Defense (OCD) has announced that the 82-member Philippine Inter-Agency Humanitarian Contingent (PIAHC) was awarded a humanitarian medal by the Turkish government in recognition of its assistance following a magnitude 7.8 earthquake that battered the country on Feb. 6.,14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation,14. External Regulation and Reputation
MANILA – President Ferdinand R. Marcos Jr. said on Tuesday the government will be putting up at least 11 more cold storage facilities in several fish ports across the country to maintain the freshness and quality of fishery products and prevent spoilage.,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"DOE eyes DST, work-from-home to save electricity",10. Quality of Life,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
House passes bill requiring BFP personnel as certified EMTs,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,2. Capacity and Resources,6. Policy Prescription and Evaluation
MANILA – The Philippine National Police (PNP) on Wednesday received USD3.3 million (around PHP181 million) worth of state-of-the-art equipment from the Office of Antiterrorism Assistance Program of the Diplomatic Security Services of the United States Embassy to help boost its counter-terrorism capability.,14. External Regulation and Reputation,2. Capacity and Resources,8. Security and Defense,False
MANILA – The country’s information technology (IT) and business process management (BPM) sector has reported a strong performance in 2022 through the addition of thousands of jobs and a jump in the sector’s revenues.,1. Economic,1. Economic,2. Capacity and Resources,1. Economic
MANILA – A lone bettor from Agusan del Norte province became an instant millionaire after winning the jackpot of the Super Lotto 6/49 in Thursday night’s draw.,15. Other,15. Other,15. Other,15. Other
