Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"Family, friends, and colleagues took to social media on Wednesday to remember and pay tribute to the late President Benigno “Noynoy” Aquino III on his 63rd birthday.",15. Other,15. Other,15. Other,15. Other
CHR launches probe on killings targeting gov't officials,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The designation of four more Philippine military facilities that may soon be accessed by US forces under the Enhanced Defense Cooperation Agreement will allow the two countries' armed forces to ""respond more seamlessly"" to challenges in the Indo-Pacific region, the US Department of Defense said Monday.",2. Capacity and Resources,8. Security and Defense,8. Security and Defense,8. Security and Defense
The lawyer of the victims in the deadly attack on Negros Oriental Gov. Roel Degamo has filed a motion asking the panel of prosecutors to resolve the  against the four respondents allegedly involved.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Remulla says prosecutors to work together with cops,"7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense,8. Security and Defense
"Imee urges limits on number of US forces, length of stay under EDCA",14. External Regulation and Reputation,8. Security and Defense,8. Security and Defense,8. Security and Defense
DOTr orders faster immigration screening for outbound international travelers,15. Other,6. Policy Prescription and Evaluation,10. Quality of Life,False
"PNP: Violence against women, children cases top charges filed vs. policemen","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"President Ferdinand “Bongbong” Marcos Jr.’s official working visit to the US is a good chance to discuss the renewal of the Enhanced Defense Cooperation Agreement under new terms and conditions, Senator Imee Marcos has said.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"A total of 913 new COVID-19 cases were recorded in the Philippines from February 27 to March 5, 2023, data from the Department of Health showed Monday.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
NWRB calls on public to conserve water as El Niño draws near,2. Capacity and Resources,2. Capacity and Resources,9. Health and Safety,2. Capacity and Resources
"Risa votes no, Imee abstains in Senate RCEP vote",13. Political,13. Political,6. Policy Prescription and Evaluation,13. Political
House panel OKs measures on jabs vs. some diseases for elderly,9. Health and Safety,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"BI facility under heightened alert; fugitives, immigration violators separated","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"DOJ to replace Negros Oriental prosecutors to remove bias, doubt in Degamo slay probe","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Bureau of Customs personnel destroy OFW's toy plane,15. Other,15. Other,"7. Law and Order, Crime and Justice",15. Other
Hontiveros suggests blacklisting three firms linked to alleged 'state-sponsored' sugar smuggling,"7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
DOH not keen on reverting face mask mandate despite rising COVID-19 cases,9. Health and Safety,9. Health and Safety,6. Policy Prescription and Evaluation,9. Health and Safety
The House constitutional  on Monday approved the  bill  report of Resolution of Both Houses (RBH) No. 6 providing for the formation of a hybrid constitutional convention (con-con) to amend the 1987 Constitution.,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
WASHINGTON - President Ferdinand “Bongbong” Marcos Jr. is considering adding more people in his Cabinet.,13. Political,13. Political,14. External Regulation and Reputation,13. Political
Four suspects in the killing of Negros Oriental Governor Roel Degamo and eight others on Monday attended the first preliminary investigation of the case at the Department of Justice (DOJ).,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Manila International Airport Authority (MIAA) has put in place contingency measures for passengers who will still arrive at the Ninoy Aquino International Airport (NAIA) during the six-hour Philippine airspace shutdown on May 17.,15. Other,6. Policy Prescription and Evaluation,9. Health and Safety,False
"More than 1 million international travelers have arrived in the Philippines in the first three months of 2023, the Department of Tourism (DOT) said Wednesday.",15. Other,10. Quality of Life,1. Economic,False
"Experts warn oil spill may reach Cuyo Island, more areas",10. Quality of Life,2. Capacity and Resources,9. Health and Safety,False
Hontiveros won’t sign Padilla’s panel report on con-ass,13. Political,13. Political,6. Policy Prescription and Evaluation,13. Political
"The Philippines recorded 553 new COVID-19 cases on Friday, even as the active tally dropped to 4,657.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Police are now looking into the neuropsychiatric background of the soldier who killed four of his fellow servicemen in Camp Evangelista in Cagayan de Oro City over the weekend, Philippine National Police (PNP) chief Police General Rodolfo Azurin Jr. said Monday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Filipinos must learn the lessons of the EDSA People Power Revolution regardless of their political affiliations, Senate President Juan Miguel Zubiri said Friday.",11. Cultural Identity,13. Political,3. Morality,False
Walden Bello camp urges Remulla to act on petition vs. cyber libel complaint,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MT Princess Empress had no CPC, MARINA insists","7. Law and Order, Crime and Justice",15. Other,13. Political,False
"Around eight in 10 Filipinos believed the country was moving in the right direction under the administration of President Ferdinand “Bongbong” Marcos Jr., according to OCTA Research’s first quarter survey released on Saturday.   Conducted from March 24 to 28, the  poll found that 76% of 1,200 adult Filipinos believed that the country was headed in the right direction based on the policies and programs articulated and implemented by the current administration.   Ten percent of the respondents believed otherwise, and 13% were undecided.   “While 8 out of 10 adult Filipinos (76%) think that the country is headed in the right direction, this result represents a notable decline of 9 percentage points  to the TNM (Tugon ng Masa) Q4 October 2022 survey conducted last quarter, where 85% said that the country was headed in the right direction,” OCTA said in its report.   “The decline in the overall percentage of adult Filipinos who think that the country is headed in the right direction from last quarter was due to the consistent decreases across major areas and socioeconomic classes,” it added.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"Several senators on Wednesday called for the full implementation of the Anti-Hazing Law after the death, allegedly due to hazing, of Adamson University student John Matthew Salilig.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"DOTr, LTFRB: Traditional jeepneys can still operate beyond deadline if they join coops",10. Quality of Life,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
Why PUV modernization can't get over the hump,10. Quality of Life,15. Other,6. Policy Prescription and Evaluation,False
"Philippines posts 144 new COVID-19 infections; active cases at 9,117",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"NFA cashier gets jail time, fined for losing P10-M public funds to robbers","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Comelec discussing new technology for next polls, says spox",2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
"Former Bureau of Corrections (BuCor) Chief Gerald Bantag and former Deputy Officer Ricardo Zulueta are now considered fugitives given the outstanding warrants of arrest filed against them, the Philippine National Police (PNP) said on Sunday.","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Five test takers tied for the top score in the respiratory therapists licensure examination conducted earlier this week, according to the Professional Regulation Commission.",15. Other,15. Other,15. Other,15. Other
700 NBP prison guards relieved — Catapang,"7. Law and Order, Crime and Justice",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
PNP Chief Acorda: No revamp yet in police organization,8. Security and Defense,8. Security and Defense,13. Political,8. Security and Defense
LTO rolls out automated handheld device for issuing tickets,2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
ECC: Over 316K claimants received P1.9-B assistance as of September 2022,10. Quality of Life,2. Capacity and Resources,4. Fairness and Equality,False
"The Communist Party of the Philippines said on Saturday that the Twitter accounts of the Philippine Revolution Web Central, Ang Bayan, and several others were suspended or taken down without warning.",15. Other,15. Other,15. Other,15. Other
"Officials are seeing a ""pattern of impunity"" in Negros Oriental following the March 4 killing of Governor Roel Degamo at his residence, Justice Secretary Jesus Crispin Remulla said Thursday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The owner of motor tanker Princess Empress on Saturday said that the oil spill response effort continues to progress in Naujan, Oriental Mindoro, weeks after the vessel sank.",9. Health and Safety,6. Policy Prescription and Evaluation,9. Health and Safety,9. Health and Safety
PHA: Ischemic heart disease still leading cause of death in 2022,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"130 flights, 20,000 passengers to be affected by May 17 airspace shutdown — MIAA",10. Quality of Life,10. Quality of Life,9. Health and Safety,10. Quality of Life
The Court of Appeals has affirmed its decision junking the plea of members of the Cordillera People’s Alliance (CPA) for a writ of amparo against the National Task Force to End Local Communist Armed Conflict (NTF-ELCAC) and other law enforcement agencies.,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",False
"Marcos wishes Emperor Naruhito 'abundant happiness, blessings'",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Commission on Higher Education chairman Prospero de Vera III said Sunday President Ferdinand “Bongbong” Marcos tasked them to finish the reevaluation of the 83 maritime schools in the country in two years’ time.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation
‘Fault current’ blamed for NAIA Terminal 3 power outage on Labor Day,10. Quality of Life,2. Capacity and Resources,9. Health and Safety,False
"Speaker Martin Romualdez of Leyte on Monday turned over the House of Representatives’ $100,000 or around P5.4 million donation for the victims of the 7.8 magnitude earthquake in Turkey.",10. Quality of Life,2. Capacity and Resources,14. External Regulation and Reputation,False
"Bantag, Zulueta now on hold departure list — BI","7. Law and Order, Crime and Justice",15. Other,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Department of Budget and Management (DBM) has approved the release of over P3 billion to cover the cost of education for technical-vocational students.   In a statement on Thursday, the DBM said Budget Secretary Amenah Pangandaman approved on February 15 the Special Allotment Release Order (SARO) amounting to P3.410 billion.   The SARO was released to the Department of Labor and Employment-TESDA “for the implementation of the Universal Access to Quality Tertiary Education (UAQTE) Act.”   The DBM said the SARO and its corresponding Notice of Cash Allocation (NCA) shall be used to cover the cost of tertiary education for all Filipino students enrolled in technical vocational institutions registered with the Technical Education and Skills Development Authority (TESDA).",1. Economic,2. Capacity and Resources,1. Economic,1. Economic
"PNP looking into possible violations, lapses in database leak",8. Security and Defense,8. Security and Defense,"7. Law and Order, Crime and Justice",8. Security and Defense
"Marcos: Railway projects to spur economic activities, promote environmental sustainability",1. Economic,6. Policy Prescription and Evaluation,1. Economic,1. Economic
CHED says no misuse of P10-billion fund,1. Economic,2. Capacity and Resources,1. Economic,1. Economic
Military dogs showcase skills in Balikatan training,15. Other,8. Security and Defense,8. Security and Defense,8. Security and Defense
CA junks with finality Zaldy Ampatuan’s plea for transfer to hospital,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Remulla: ICC talk with EU MPs lasted less than three minutes,14. External Regulation and Reputation,14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation
Senator Nancy Binay on Thursday called on the Department of Health and the local government units to craft strategies to ramp up the inoculation of routine vaccines for children after Unicef reported that around one million Filipino children missed out on such jabs.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
DOE’s Lotilla on NGCP's power interruption warning: No need to be alarmist,10. Quality of Life,2. Capacity and Resources,9. Health and Safety,False
The Japanese Embassy in Manila has extended its gratitude to Justice Secretary Jesus Crispin Remulla for the deportation of four Japanese fugitives wanted for theft in Japan.,14. External Regulation and Reputation,14. External Regulation and Reputation,"7. Law and Order, Crime and Justice",14. External Regulation and Reputation
Marcos on Arroyo's 76th birthday: Thank you for your guidance,15. Other,15. Other,15. Other,15. Other
OCD to create protocols based Philippine rescue team's Turkey experiences,9. Health and Safety,6. Policy Prescription and Evaluation,8. Security and Defense,False
Rep. Villar seeks comprehensive study on students’ mental health,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Cop arrested in P6.7-B drug bust dismissed from service —PNP,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Senator Ronald “Bato” dela Rosa on Tuesday floated “revenge” as a possible reason behind the death of the alleged driver of the gray AUV that carried the body of hazing victim John Matthew Salilig before it was buried.,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Department of Labor and Employment (DOLE) is ""reviewing"" issues and concerns regarding the alleged red-tagging of labor union members and activists.",4. Fairness and Equality,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The lawyer of suspended Negros Oriental Representative Arnolfo ""Arnie"" Teves Jr. said on Saturday that his client has made certain requests to ensure his safe return to the country after being linked to the killing of Governor Roel Degamo.",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
DOH releases guidelines for 2nd COVID-19 booster shots to general population,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Justice Secretary Jesus Crispin Remulla on Tuesday said that the Maritime Industry Authority (MARINA) and the Philippine Coast Guard (PCG) have been directed to produce relevant documents for the oil spill investigation.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
US Ambassador Carlson cites importance of free press in visit to GMA,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Comelec creates permanent committee vs. vote-buying,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,8. Security and Defense,6. Policy Prescription and Evaluation
SC ruling shows when rape is consummated,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence
The Sandiganbayan on Friday found former Philippine Amusement Gaming Corporation (PAGCOR) chairman Efraim Genuino guilty of graft over the anomalous release of P37-million public funds in 2007 and 2009.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Philippine National Police on Monday said it has coordinated with the Department of Justice to place on the Immigration watch list the hazing suspects in the death of Adamson University student John Matthew Salilig.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
UST grad tops January 2023 architect licensure exam,15. Other,15. Other,15. Other,15. Other
PH could lose COVID-19 vaccine donations as health emergency ends –solon,9. Health and Safety,2. Capacity and Resources,1. Economic,False
"LRT2, MRT3, PNR offer free rides for Filipino military veterans on April 5, 10 to 12",15. Other,10. Quality of Life,4. Fairness and Equality,False
Alleged ASG member wanted for murder nabbed in Parañaque,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Department of Justice has ordered its prosecutors to  the withdrawal of pending criminal cases in first-level courts that have no probable cause with reasonable certainty of conviction.,5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"President Ferdinand ""Bongbong"" Marcos Jr. on Wednesday approved the creation of a Water Resource Management Office (WRMO) to manage the country’s water resources and respond to present environmental challenges.",2. Capacity and Resources,2. Capacity and Resources,6. Policy Prescription and Evaluation,2. Capacity and Resources
Mayo considered as 'high-value' target inside BJMP —spox,13. Political,8. Security and Defense,"7. Law and Order, Crime and Justice",False
"WASHINGTON -  The United States is working closely  in the vicinity of the EDCA sites to showcase the benefits it could provide to residents in the area, a White House fact sheet said.",14. External Regulation and Reputation,14. External Regulation and Reputation,8. Security and Defense,14. External Regulation and Reputation
"Verde Island Passage, world's center of marine biodiversity, in peril due to oil spill —expert",10. Quality of Life,2. Capacity and Resources,9. Health and Safety,False
"DOTr: New order to streamline admin, procurement processes",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
BI probes reported 'scam hub' condos for trafficked foreigners,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Local language least preferred medium of instruction for Grades 1-3: poll,12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"Joint PH-US statement made 'false accusations' vs. China, says official",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"DepEd plans to hire 9,650 new teachers in 2023",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"The Philippine tally of active COVID-19 cases fell below 10,000 on Sunday, even as the country reported 166 new infections, according to data released by the Department of Health (DOH).",9. Health and Safety,9. Health and Safety,8. Security and Defense,9. Health and Safety
Magna Carta for seafarers hurdles House on final reading,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Palace names latest appointments in gov’t agencies,2. Capacity and Resources,13. Political,13. Political,13. Political
"The country’s first fire and rescue village for children formally opens in Bacoor City, Cavite.",10. Quality of Life,8. Security and Defense,9. Health and Safety,False
SolGen insists war on drugs was a legitimate law enforcement effort,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Several domestic and international flights were delayed due to the radar system maintenance work at the Philippine Air Traffic Management Center (ATMC) on Wednesday.,10. Quality of Life,10. Quality of Life,9. Health and Safety,10. Quality of Life
"Leaders of transport groups Pasang Masda and Liga ng Transportasyon at Operators sa Pilipinas (LTOP) on Saturday slammed the week-long transport strike planned by some of their colleagues.   At the Saturday News Forum in Quezon City, Pasang Masda president Obet Martin said that no transport strike lasted beyond two days.   Martin went on to claim that transport strike leader and Manibela chairman Mar Valbuena has no record with the Land Transportation Franchising and Regulatory Board (LTFRB) as an operator of any mode of public transportation.   “Kaya itong taong (Valbuena) ito nanggugulo lang ito,” the Pasang Masda president said.   LTOP president Orlando Marquez echoed Martin’s claims, saying, “Mar Valbuena wala kang karapatan… Hindi ka naman operator, wala ka sa listahan ng LTFRB pero nanggugulo ka.”",12. Public Opinion,"7. Law and Order, Crime and Justice",4. Fairness and Equality,False
China on Balikatan: US-PH cooperation must not interfere in sea dispute,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"TOKYO— Japan will give the Philippines 600 billion yen in government aid and private sector investments to support the country’s drive to  an upper-middle  economy in 2024, Japan Prime Minister Fumio Kishida has said.",1. Economic,1. Economic,1. Economic,1. Economic
"Senators on Tuesday grilled an Adamson University official over their alleged inaction despite being aware of the presence of Tau Gamma Phi, a fraternity not officially recognized by the school, in the campus.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Police raid Rep. Teves' houses for loose firearms,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Anti-poverty body urges Filipinos to help gov’t poverty alleviation programs,12. Public Opinion,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
Marcos to military: Ensure airworthiness of PAF assets,2. Capacity and Resources,8. Security and Defense,8. Security and Defense,8. Security and Defense
Zelenskiy says he spoke with Marcos on deepening Ukraine-Philippines ties,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"The Commission on Elections (Comelec) will suspend the power of the Philippine National Police and the Armed Forces of the Philippines to transfer their personnel during election periods, Comelec Chairman George Garcia said Monday.",13. Political,8. Security and Defense,8. Security and Defense,8. Security and Defense
Authorities seized over P18 million worth of marijuana leaves and vape marijuana oil concealed in a balikbayan box.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The two other Japanese fugitives detained in the Philippines are set to be deported Wednesday after a Pasay court granted separate motions to withdraw the cases filed against them, Justice Secretary Jesus Crispin Remulla said Tuesday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"A graduate of Iloilo Science and Technology University gained the highest percentage rating for the April 2023 Electronics Engineers Licensure Examination while for the April 2023 Engineer Technicians Licensure Examination Jayron Tayurang Mampusti of the Polytechnic University of the Philippines - Main Sta. Mesa got 90%, the Professional Regulation Commission (PRC) announced.",15. Other,15. Other,15. Other,15. Other
"Dozens of flights were canceled on Monday, Labor Day, due to a power outage that hit the Ninoy Aquino International Airport (NAIA).",10. Quality of Life,10. Quality of Life,9. Health and Safety,10. Quality of Life
The Department of Budget and Management (DBM) on Tuesday said the Marcos administration has allocated P1.737 billion under this year’s budget for the modernization of the Bureau of Fire Protection (BFP).,1. Economic,2. Capacity and Resources,1. Economic,1. Economic
"The Syrian government has made an appeal to the Philippine government for assistance following the magnitude 7.8 earthquake that struck the country, the Office of Civil Defense (OCD) said.",14. External Regulation and Reputation,9. Health and Safety,1. Economic,False
"Enrile, co-accused in graft case question COA's evidence on PDAF use","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Department of Transportation (DOTr) said that railway lines are prepared to extend their operations on Monday to  amid the transport strike.,2. Capacity and Resources,6. Policy Prescription and Evaluation,10. Quality of Life,False
Senator Francis Tolentino will take up with visiting European Parliament members the proposed Senate resolution defending former President Rodrigo Duterte from an investigation by the International Criminal Court.,"7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Passengers urged to allot ample time to get to NAIA amid transport strike,12. Public Opinion,12. Public Opinion,10. Quality of Life,12. Public Opinion
"The Philippines will continue to engage with countries and international platforms when  to democracy and human rights as long as the engagements are constructive and respectful of its sovereignty, according to President Ferdinand ""Bongbong"" Marcos Jr.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
SC disbars lawyer over claims of bribing justices,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Inter-Agency Task Force for the Management of Emerging Infectious Diseases (IATF) is pushing for the alert level system be used as a  tool and no longer an identifier of what restrictions should be imposed in a particular area amid the COVID-19 pandemic.,9. Health and Safety,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Two suspects tagged prominent person in Degamo slay —source,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"DOST, TESDA offer courses for data analysts as demand seen to increase",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"PCG: 70,535 outbound, 55,151 inbound travelers on April 10",15. Other,10. Quality of Life,1. Economic,False
Interment services covered by senior citizen’s discount — SC,1. Economic,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
"A crucial security policy document outlining the future of the Philippines-United States alliance will be released in Washington when President Ferdinand Marcos Jr. visits the Pentagon for a meeting with American defense officials on Wednesday, a senior US embassy diplomat said.   Earlier announced in a White House factsheet following a meeting between US President Joe Biden and Marcos on Monday, the Bilateral Defense Guidelines are seen as an upgrade to the Philippines and America’s security ties as they seek to “institutionalize key bilateral priorities, mechanisms, and processes to deepen alliance cooperation and interoperability across land, sea, air, space, and cyberspace.”   “One thing that  out of this visit and is on track to be made public this Wednesday when President Marcos visits the Pentagon is the first ever Bilateral Defense Guidelines between the US and the Philippines,” said Brett Blackshaw, political counselor at the US Embassy, at a forum hosted by Stratbase-ADR Institute on Tuesday.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"VP Sara pushes for work culture that values better wages, mental health",10. Quality of Life,10. Quality of Life,4. Fairness and Equality,10. Quality of Life
The Bureau of Immigration (BI) cautioned the public anew against unscrupulous individuals offering immigration services on social media.,13. Political,8. Security and Defense,"7. Law and Order, Crime and Justice",False
Recto to Marcos admin: Tell Congress location of 4 new EDCA sites,13. Political,8. Security and Defense,13. Political,13. Political
Agencies told to use infra funds ahead of election spending ban,1. Economic,2. Capacity and Resources,"7. Law and Order, Crime and Justice",False
"Finance Secretary Benjamin Diokno, the chief economic manager of the Marcos administration, called on newly designated Customs Commissioner Bienvenido Rubio to prioritize the agency’s digitalization.",2. Capacity and Resources,1. Economic,13. Political,False
Senator Ramon “Bong” Revilla Jr. has filed a resolution seeking a Senate investigation into the alleged involvement of ranking Philippine National Police officers in the P6.7 billion drug haul in Manila late last year.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Marcos: AFP mission changed amid South China Sea problem, rivalry between powers",14. External Regulation and Reputation,8. Security and Defense,14. External Regulation and Reputation,14. External Regulation and Reputation
Vice President Sara Duterte urged local chief executives to steer clear of the appointment process of public schools teachers in their respective municipalities and respect the ranking system of educators.,13. Political,6. Policy Prescription and Evaluation,13. Political,13. Political
"Sajid Ampatuan found guilty of malversation, graft over fictitious purchase of farm inputs","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Vergeire says she's ready to be DOH secretary: 'Baka kailangan ako ng Pilipino',3. Morality,13. Political,13. Political,13. Political
"A huge majority of teachers in the country reported that students are finding it difficult to concentrate on their studies due to ""summer heat"", according to a survey conducted by the Alliance of Concerned Teachers (ACT).",12. Public Opinion,12. Public Opinion,9. Health and Safety,12. Public Opinion
"The Philippines, through the Department of Foreign Affairs (DFA), on Friday accused China of destabilizing peace and security in the West Philippine Sea after its coast guard used a laser pointer against a Philippine government ship conducting a resupply mission in Ayungin shoal.",14. External Regulation and Reputation,8. Security and Defense,"7. Law and Order, Crime and Justice",False
The Department of Information and Communications Technology (DICT) is now investigating the alleged data breach involving the database of law enforcement agencies.,8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
University of Baguio (UB) alumnus Anthony Mark Dulawan Emocling made history as he became the first visually impaired exam taker to pass the Bar Examinations.,15. Other,15. Other,15. Other,15. Other
"Galvez: US pledged P11-B for disaster-response choppers, EDCA sites",14. External Regulation and Reputation,2. Capacity and Resources,8. Security and Defense,False
"Informants of the police and the Philippine Drug Enforcement Agency are being paid for successful tips with confiscated drugs that they then sell on the street, House dangerous drugs panel chairperson Robert Ace Barbers of Surigao del Norte said Tuesday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Anti-Terrorism Council designates Dr. Naty Castro a terrorist,"7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"President Ferdinand ""Bongbong"" Marcos Jr. will ask the International Criminal Police Organization (Interpol) to issue a blue notice against the suspects in the killing of Negros Oriental Govenor Roel Degamo.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
