Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"MANILA, Philippines – Recognizing that teachers are the “lifeblood” of the Department of Education (DepEd), Vice President and Secretary Sara Duterte put a spotlight on their welfare during her Basic Education Report (BER) 2023 on Monday, January 30.",13. Political,11. Cultural Identity,10. Quality of Life,False
"MANILA, Philippines – Inside the near-empty lobby of the office she would vacate in three days, Vice President Leni Robredo gave a tight hug to the woman who would be taking the cudgels on behalf of the opposition from now on: reelected Senator Risa Hontiveros.",13. Political,13. Political,13. Political,13. Political
Complaint filed vs ‘master initiator’ in alleged hazing of John Matthew Salilig,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice"
"Farmers, fishermen wait up to more than 2 years to receive calamity claims",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
"MANILA, Philippines – On the steps of the building where, as a young child, he once waited for his father so they could go home together, Ferdinand Romualdez Marcos Jr. took his oath at noon of June 30, 2022 as the 17th president of the Republic.",13. Political,13. Political,13. Political,13. Political
"After six years of Rodrigo Duterte, the dictator’s son Ferdinand Marcos Jr. is set to assume the Philippine presidency on June 30.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – Career officer Jail Chief Superintendent Ruel Silva Rivera was named acting chief of the Bureau of Jail Management and Penology (BJMP), the bureau announced on Tuesday, March 28.",6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
"MANILA, Philippines – Oil tanker MT Princess Empress, which sank off the coast of Oriental Mindoro with 800,000 liters of industrial fuel oil on February 28, had no updated permit to operate, a Senate inquiry into the disaster unearthed on Tuesday, March 14.",9. Health and Safety,9. Health and Safety,10. Quality of Life,9. Health and Safety
"Faustino quits defense, Marcos names new chief Galvez",13. Political,13. Political,13. Political,13. Political
Law banning child marriage in the Philippines now in full force,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,False
"[PODCAST] Kriminal: Kian delos Santos, buried but not forgotten",12. Public Opinion,8. Security and Defense,3. Morality,False
Bato dela Rosa says he’s ‘ready’ for ICC probe: ‘No more fears’,13. Political,13. Political,14. External Regulation and Reputation,13. Political
"To help farmers, Senate bets seek changes to rice tariffication law",1. Economic,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"In 2-hour interpellation, Lagman lobbies to delay Maharlika fund’s passage",1. Economic,13. Political,6. Policy Prescription and Evaluation,False
Marcos party kicks out former executive secretary Vic Rodriguez,13. Political,13. Political,13. Political,13. Political
LIST: Deals from Marcos’ Indonesia trip,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – The Senate blue  issued another string of arrest warrants, this time against five executives linked to the controversial Pharmally Pharmaceutical Corporation for repeatedly snubbing the hearings.","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – President Ferdinand Marcos Jr., whose father and family once ruled over the Philippines for over two decades, said he was “one with the nation in remembering” the EDSA People Power Revolution.",13. Political,13. Political,11. Cultural Identity,13. Political
"MANILA, Philippines – Natividad Castro, a doctor who helped the Lumad set up health centers in Mindanao, has been held  since she was arrested in her San Juan home and whisked off to Butuan City on Friday, February 18.","7. Law and Order, Crime and Justice",11. Cultural Identity,8. Security and Defense,False
"MANILA, Philippines – World Health Organization (WHO) Director-General Tedros Adhanom Ghebreyesus was in Manila from October 24 to 28 for the 73rd session of the WHO Regional Committee for the Western Pacific, which the Philippine capital hosted.",14. External Regulation and Reputation,9. Health and Safety,14. External Regulation and Reputation,14. External Regulation and Reputation
Marcos appoints geologist Carlos David as DENR undersecretary,6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
"MANILA, Philippines – Days before the deadline for SIM card registration, the National Union of Journalists of the Philippines (NUJP) and other groups filed a petition before the Supreme Court (SC), asking the High Court to declare the law requiring registration unconstitutional.",13. Political,12. Public Opinion,5. Constitutionality and Jurisprudence,False
"AFP sends elite unit, creates task force in Negros after Degamo killing","7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense,8. Security and Defense
Boy Scouts of the Philippines risks losing land unlisted in its books,13. Political,15. Other,11. Cultural Identity,False
"MANILA, Philippines – The holiday season often sees an increase in unhoused people begging for alms in the streets of the Philippines’ big cities. Many of those seen knocking on car windows for spare change are from",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
China aims laser at Philippine Coast Guard ship in West PH Sea,8. Security and Defense,8. Security and Defense,14. External Regulation and Reputation,8. Security and Defense
"MANILA, Philippines – The Philippines and China signed on Wednesday, January 4, 14 bilateral agreements touching on tourism, trade, and information exchange, among others.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
LOOK: Police release photo of suspects in missing sabungeros case,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – Senator Panfilo Lacson‘s past as a fugitive and a member of a dreaded intelligence unit haunted him during an interview with veteran GMA journalist Jessica Soho, which aired on Saturday, January 22.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – Kalookan Bishop Pablo Virgilio ‘Ambo’ David on Thursday, April 14, warned Filipinos of the dangers of electing people in office that are hungry for power, noting that the corrupt are the playthings of the devil.",12. Public Opinion,3. Morality,3. Morality,3. Morality
"8 years later, Meralco wins rate hike case in Supreme Court",13. Political,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Robredo’s Bayanihan E-Konsulta teleconsult services to end on May 31,2. Capacity and Resources,9. Health and Safety,9. Health and Safety,9. Health and Safety
"President Rodrigo Duterte steps down from office and  “Citizen Digong” on June 30, 2022, the day Ferdinand Marcos Jr. officially succeeds him in Malacañang.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – The Bureau of Corrections (BuCor) postponed its plan to build its headquarters and transfer the New Bilibid Prison to Masungi Georeserve in Rizal, said acting BuCor Director General Gregorio Catapang Jr. on Tuesday, March 7.",13. Political,2. Capacity and Resources,6. Policy Prescription and Evaluation,False
"Marcos Jr. spox deflects missing Picasso, threatens Bautista over 2016 elections",13. Political,13. Political,13. Political,13. Political
Rappler Talk: What will stop sexual harassment in schools?,3. Morality,"7. Law and Order, Crime and Justice",3. Morality,3. Morality
WATCH: PH Senator Jinggoy Estrada calls ICC reps ‘puting unggoy’,13. Political,13. Political,13. Political,13. Political
Rappler Talk: Letting the dead speak with Raquel Fortun and Flavie Villanueva,13. Political,15. Other,3. Morality,False
"MANILA, Philippines – Broadcaster and soon-to-be senator Raffy Tulfo is confident that despite there being only one opposition senator in the upper legislative chamber, it will still be able to fulfill its job as a check on the awesome powers of the presidency.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – A magnitude 6.1 earthquake hit Calatagan in Batangas province on Sunday morning, May 22, the Philippine Institute of Volcanology and Seismology (Phivolcs) said in a bulletin.",9. Health and Safety,9. Health and Safety,10. Quality of Life,9. Health and Safety
PH government deports 2 Japanese fugitives tagged in serial robberies,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – US Second Gentleman Doug Emhoff is taking part in a roundtable discussion on the safe reopening of schools in the Philippines, as part of he and Vice President Kamala Harris’ three-day itinerary in the Southeast Asian nation.",14. External Regulation and Reputation,10. Quality of Life,14. External Regulation and Reputation,14. External Regulation and Reputation
‘Autop-silip’: New findings cast doubt on Kian delos Santos’ earlier autopsies,13. Political,"7. Law and Order, Crime and Justice",8. Security and Defense,False
"MANILA, Philippines – Solicitor General Menardo Guevarra said the Philippines has asked the International Criminal Court’s (ICC) pre-trial chamber to deny the ICC prosecutor’s request to resume the probe into Rodrigo Duterte’s drug war and the killings in Davao.",13. Political,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"WATCH: Philippines’ Marcos, Malaysia’s Anwar hold joint press conference",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
House revives talks to decriminalize marijuana use in the Philippines,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Philippines allows full capacity for all establishments under Alert Level 1,6. Policy Prescription and Evaluation,9. Health and Safety,10. Quality of Life,False
"MANILA, Philippines – The Public Attorney’s Office (PAO) called on the Commission on Higher Education (CHED) to withdraw its directives that allow colleges and universities to prevent unvaccinated students from attending face-to-face classes.",9. Health and Safety,6. Policy Prescription and Evaluation,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – The failure of Philippine authorities to satisfactorily look into killings by the alleged Davao Death Squad is part of the reason why International Criminal Court (ICC) Prosecutor Karim Khan has requested the Court’s pre-trial chamber (PTC) to reopen investigation into the Philippines.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice"
"MANILA, Philippines – The months following a Philippine president’s State of the Nation Address (SONA) is typically a whirlwind for members of Congress, the media assigned to cover the legislature, and agency chiefs and their staff tasked to defend proposed budgets for  year.",13. Political,13. Political,13. Political,13. Political
Rappler Recap: President Marcos’ 1st SONA,13. Political,13. Political,13. Political,13. Political
Judge who issued 3 Bloody Sunday warrants named new CA justice,13. Political,13. Political,3. Morality,13. Political
"MANILA, Philippines – Scientist Renato Solidum Jr., President Ferdinand Marcos Jr.’s nominee for secretary of the Department of Science and Technology (DOST), came to his confirmation hearing on Wednesday, December 7, perhaps prepared to prove his qualifications and share his plans for the S & T sector.",6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
"MANILA, Philippines – A fire hit the seventh floor of the building housing the headquarters of the Commission on Elections (Comelec) on Sunday evening, July 31.",13. Political,9. Health and Safety,8. Security and Defense,False
"MANILA, Philippines – Former president Rodrigo Duterte faced the media on Thursday, August 4, after he visited the wake of the late former president Fidel V. Ramos.",13. Political,13. Political,13. Political,13. Political
Leody de Guzman: Better to focus on  economy than military,1. Economic,13. Political,1. Economic,1. Economic
"MANILA, Philippines – President Ferdinand Marcos Jr. is taking his  the five-person leadership of the Commission on Human Rights (CHR), as it took him three more months to name  lawyer Faydah Maniri Dumarpa.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – Although it’s hard to tell if the missing Cessna plane in Isabela will be located on Friday, January 27, the Isabela local government said the chances are now higher due to the narrowed-down search area.","7. Law and Order, Crime and Justice",9. Health and Safety,8. Security and Defense,False
Reporter’s Review: Sofia Tomacruz on foreign affairs under Rodrigo Duterte,14. External Regulation and Reputation,14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation
"MANILA, Philippines – Suspended Bureau of Corrections Director General Gerald Bantag and BuCor Directorate for Security and Operations Superintendent Ricardo Zulueta – both tagged in the killing of broadcaster Percival “Percy Lapid” Mabasa –  are still in the country, authorities said on Wednesday, November 9.","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – A United States military officer reiterated that the Philippines has sole ownership of the Enhanced Defense Cooperation Agreement (EDCA) sites that will be built in the country.","7. Law and Order, Crime and Justice",8. Security and Defense,14. External Regulation and Reputation,False
"MANILA, Philippines – The largest Balikatan (Shoulder-to-Shoulder) exercise in Philippines and US  to a close on Friday, April 28.",13. Political,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Supporters urge Marcos to free Leila de Lima 6 years after her arrest,13. Political,12. Public Opinion,12. Public Opinion,12. Public Opinion
MARINA slaps cease-and-desist orders vs owner of MT Princess Empress,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA, Philippines – The Philippines said on Saturday, March 4, it had spotted a Chinese navy ship and dozens of militia vessels around a contested Philippine-occupied island in the South China Sea, as territorial tensions mount in the area.",8. Security and Defense,8. Security and Defense,14. External Regulation and Reputation,8. Security and Defense
"CEBU CITY, Philippines – The Philippines’ Department of Health (DOH) announced on Tuesday, October 18, that it had detected the country’s first cases of the more transmissible COVID-19 Omicron subvariant XBB.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – The Philippine National Police (PNP) on Thursday, August 18, prevented a delegation of US lawmakers from visiting former senator Leila de Lima in her detention area in Camp Crame.",13. Political,13. Political,5. Constitutionality and Jurisprudence,13. Political
"MANILA, Philippines – After an ease in COVID-19 restrictions, Filipino Catholics once again received cross-shaped ashes on their foreheads on Ash Wednesday, March 2. For the past two years, the Catholic Church had been forced to modify the Ash Wednesday ritual to keep churchgoers safe from COVID-19.",11. Cultural Identity,3. Morality,11. Cultural Identity,11. Cultural Identity
"MANILA, Philippines – Taon-taon, idinaraos ng Pilipinas at ng kaalyado nitong bansa na Amerika ang Balikatan Exercise upang pagtibayin ang relasyon ng militar ng dalawang bansa.",15. Other,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
House passes proposed P5.268-trillion budget for 2023,1. Economic,1. Economic,1. Economic,1. Economic
PH ranks 54th in 2021 Democracy Index; Asia sees ‘reversal of fortunes’,1. Economic,4. Fairness and Equality,14. External Regulation and Reputation,False
Hard-hitting broadcaster Percival “Percy Lapid” Mabasa was killed in Las Piñas on October 3 – but his killing was no ordinary crime.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice"
Lawyers: Palparan has been getting ‘special treatment’ in Bilibid for 3 years,13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
"MANILA, Philippines – A helicopter of the Philippine National Police (PNP) crashed in Real, Quezon on Monday morning, February 21, killing one member of the police crew and wounding two others.",9. Health and Safety,9. Health and Safety,8. Security and Defense,9. Health and Safety
"SC asked to declare as unconstitutional law postponing barangay, SK polls",13. Political,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
"MANILA, Philippines – Presidential aspirant Ferdinand “Bongbong” Marcos Jr looks prepared to set aside the historic arbiration win of the Philippines in The Hague to continue engaging the Chinese, whom he repeatedly called “friends” in a series of media interviews this week.",13. Political,14. External Regulation and Reputation,13. Political,13. Political
"MANILA, Philippines – The Philippine anti-graft court Sandiganbayan has finally rendered judgment on the decade-old charges against retired major general Carlos Garcia over the controversial military “pabaon” scandal, convicting the general of lesser offense and imposing fines totaling P407 million.",13. Political,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA, Philippines – The Philippines and the United States will hold their largest Balikatan exercise this year, with 17,600 troops expected to participate in the  joint exercise in April, said Armed Forces of the Philippines (AFP) Balikatan spokesperson Colonel Michael Logico.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Remulla: Some lawyers use ‘invented cases’ to hold Japanese in PH,5. Constitutionality and Jurisprudence,14. External Regulation and Reputation,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA, Philippines – One thing is clear in the move to block websites allegedly affiliated  groups: nothing in the anti-terror law says websites can be blocked after designation as terrorists.",13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
"BAGUIO CITY, Philippines – The Supreme Court (SC) has ruled that only businesses with the John Hay Special Economic Zone (JHSEZ) in Baguio City registered under the Philippine Economic Zone Authority (PEZA) are covered by duty and tax-free privileges.",13. Political,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA, Philippines – Dennise Velasco and five trade union organizers were arrested during Human Rights Day on December 10, 2020 along with journalist Lady Ann Salem. They were dubbed “Human Rights Day 7.”",13. Political,"7. Law and Order, Crime and Justice",8. Security and Defense,False
Sandiganbayan dismisses forfeiture case against late chief justice Corona,13. Political,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA, Philippines – The Department of Health (DOH) said that vaccination sites will be set up near polling sites on Monday, May 9, so the public could get vaccinated after casting their votes.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – Chinese Ambassador to the Philippines Huang Xilian visited the Philippine Coast Guard (PCG) on Thursday, June 2 – only days after the Philippines filed another diplomatic protest against China for its unilateral imposition of a fishing ban in the South China Sea.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines — The United States Senate on Thursday, May 5, confirmed the appointment of MaryKay Loss Carlson as the next US ambassador to the Philippines.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Philippine government deports 2 remaining fugitives back to Japan,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – Former broadsheet reporter and incumbent Department of Social Welfare and Development Undersecretary Edu Punay was chosen to lead the DSWD in a temporary capacity, days after the Commission on Appointments (CA) bypassed the confirmation bid of Secretary Erwin Tulfo.",6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
"MANILA, Philippines – As the Philippines entered year 3 of battling the coronavirus pandemic, the government on Monday, February 7, started vaccinating children aged 5 to 11 against the deadly virus.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Ombudsman probes DOLE’s cash-for-work program,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Before a Marcos return: PH celebrates 124th independence day,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity
"MANILA, Philippines – The assigned values of two prized Marcos jewelry collections have dropped by 67% as of 2021 in the financial statements of the Presidential Commission on Good Government (PCGG).",1. Economic,13. Political,13. Political,13. Political
"MANILA, Philippines – The camp of detained former senator Leila de Lima opposed the prosecutors’ motion to reopen her case after the judge already set the promulgation for early May.",13. Political,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA, Philippines – Lawyer and pro-Duterte vlogger Trixie Cruz-Angeles has been picked by presumptive president Ferdinand Marcos Jr. to be his press secretary.",6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
Remulla says law needed to act on World War II comfort women’s claims,13. Political,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
‘Grateful’ Duterte presides over last full Cabinet meeting of his administration,13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – National scientist and the first chairman of the Commission on Higher Education (CHED) Dr. Angel Alcala has died,  announced on its Facebook page on Wednesday, February 1. He was 93.",13. Political,15. Other,15. Other,15. Other
Broadcaster Mon Tulfo arrested over cyber libel complaint,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – Religious group Iglesia ni Cristo (INC) has officially endorsed Ferdinand “Bongbong” Marcos Jr. and Sara Duterte for president and vice president in the 2022 elections.",3. Morality,12. Public Opinion,13. Political,False
"(Editor’s Note: This article was first published on August 23, 2022.)",14. External Regulation and Reputation,15. Other,15. Other,15. Other
DepEd official says MOA to procure P2.4-B worth outdated laptops defective,1. Economic,2. Capacity and Resources,1. Economic,1. Economic
"Who is Angelo Jimenez, the new UP president?",13. Political,13. Political,15. Other,13. Political
"MANILA, Philippines – The Department of Justice (DOJ) has indicted three agents of the Philippine Drug Enforcement Agency (PDEA) and four Philippine National Police personnel in relation to a misencounter between their units in Quezon City on February 24, 2021.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
COVID-19 vaccination for kids aged 5 to 11 moved to February 7,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – President Ferdinand Marcos Jr. on Saturday, October 8, marked his 100th day as the chief executive of the country, and yet he has not made a dent in the country’s health sector.",13. Political,9. Health and Safety,13. Political,13. Political
Last of 2 parts,15. Other,15. Other,15. Other,15. Other
"US Vice President Harris, PH President Marcos to discuss Taiwan – envoy",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – A group of legal luminaries, lawyers, and law school deans have asked the Supreme Court (SC) to hold former anti-insurgency spokesperson Lorraine Badoy in contempt for her threats against Judge Marlo Magdoza-Malagar.","7. Law and Order, Crime and Justice",12. Public Opinion,12. Public Opinion,12. Public Opinion
Raffy Tulfo vows to be ‘independent’ in Senate dominated by Marcos-Duterte allies,13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – Department of Justice (DOJ) Secretary Jesus Crispin “Boying” Remulla has put up a P5-million reward for any information that would lead to the arrest and prosecution of the killers of Negros Oriental Governor Roel Degamo.",13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
"MANILA, Philippines– Ferdinand Marcos Jr. chose the grandson of his late father’s agrarian minister for the same job.",13. Political,13. Political,13. Political,13. Political
3 to 4 people planned Roel Degamo’s killing – Remulla,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice"
President Ferdinand Marcos Jr. flies out of the country again to participate in  ASEAN-EU Summit in Belgium from December 11 to 15. This is his first visit to the European continent as President and his sixth foreign visit since he assumed the presidency six months ago on June 30.,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Duterte says he’s ready to ‘rot in prison’ after ICC rejects PH appeal,13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
Robredo’s satisfaction rating falls in December 2021 survey – SWS,12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"MANILA, Philippines – In an apparent change of heart, House leaders will move to restore the reduced budget of the National Task Force to End Local Communist Armed Conflict (NTF-ELCAC) in 2023, Ako-Bicol Representative Zaldy Co said.",1. Economic,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA, Philippines – President Ferdinand Marcos Jr. signed on January 27, an executive order approving and adopting the Philippine Development Plan (PDP) for 2023 to 2028.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA, Philippines –  The Philippine Coast Guard (PCG) announced on Wednesday, May 18, that it has installed a new set of navigational buoys bearing the Philippine flag in the West Philippine Sea.",8. Security and Defense,8. Security and Defense,2. Capacity and Resources,8. Security and Defense
Leody de Guzman says his brand of leadership fulfills EDSA’s ‘shortcomings’,13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – The Philippines is still without chiefs for several crucial posts, including that of the health department, as the first full week of the Marcos presidency begins.",13. Political,13. Political,13. Political,13. Political
51% of Filipinos expect COVID-19 crisis to end within 2022 – SWS,12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"MANILA, Philippines – The Supreme Court announces on Friday, April 14, the examinees who passed the 120th Bar chaired by Associate Justice Alfredo Benjamin Caguioa.",6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,15. Other,False
"MANILA, Philippines – On the eve of the anniversary of the popular revolution that ousted his late father and namesake, President Ferdinand Marcos Jr. is back in his clan’s bailiwick to lead a festival celebrating the “greatness” of his home region.",13. Political,13. Political,13. Political,13. Political
"Gov’t eyes special vaccination days in Cebu province, Mindanao areas",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Schools are considered as safe spaces for children and the youth. Inside the four corners of educational institutions, they learn the basics that will help them as they grow older.",11. Cultural Identity,11. Cultural Identity,10. Quality of Life,11. Cultural Identity
Cyberattack hits CNN Philippines on day of presidential debate,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice"
NEDA: Cost of charter change-related poll exercises could go up to P28 billion,1. Economic,1. Economic,1. Economic,1. Economic
"MANILA, Philippines – The Department of Justice is set to file charges of robbery and kidnapping against three police officers involved in the case of a missing sabungero in Laguna last August 2021.","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Rappler Recap: Updates on preliminary investigation into Percy Lapid’s case,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – President Rodrigo Duterte signed into law a measure that removes several restrictions on foreign investments, one of the economic measures he certified as urgent for Congress to pass in a bid to stimulate an economy recovering from the COVID-19 pandemic.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,1. Economic,6. Policy Prescription and Evaluation
"MANILA, Philippines – After reeling from the surge in infections driven by the highly contagious COVID-19 Omicron variant, all regions in the country are now under minimal risk case classification, the Department of Health (DOH) said on Tuesday, March 22.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – Former vice presidential candidate and Laban ng Masa chairperson Walden Bello will hold a press conference on Wednesday, August 10, following his release from detention for a cyber",13. Political,13. Political,13. Political,13. Political
Retired justice Antonio Eduardo Nachura dies,13. Political,15. Other,15. Other,15. Other
"MANILA, Philippines – The Armed Forces of the Philippines is sending an elite unit of 50 soldiers to augment forces deployed in Negros island following the killing of Negros Oriental Governor Roel Degamo.",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
"MANILA, Philippines – The Quezon City Metropolitan Trial Court Branch 133 has acquitted a drug war survivor who was alleged by police personnel of assaulting them.",13. Political,5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",False
"The canvassing of votes for the Philippines’ next president and vice president begins at 10 am (Manila time) on Tuesday, May 24, at the Batasang Pambansa.",13. Political,13. Political,13. Political,13. Political
Mother of drug war victims back in Geneva to tell world there is ‘no justice’ in PH,3. Morality,12. Public Opinion,4. Fairness and Equality,False
"MANILA, Philippines – United States Second Gentleman Doug Emhoff announced on Monday, November 21, that the Biden administration will donate an additional $5 million to the Philippine government to speed up the Southeast Asian nation’s COVID-19 vaccination rollout.",1. Economic,9. Health and Safety,9. Health and Safety,9. Health and Safety
"433 Grand Lotto winners were ‘loyal’ to their numbers, says PCSO",11. Cultural Identity,15. Other,15. Other,15. Other
"MANILA, Philippines –  The Chinese Foreign Ministry announced on Tuesday, June 28, that, Chinese Vice President Wang Qishan will attend the inauguration of president-elect Ferdinand “Bongbong” Marcos Jr.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Bill allowing married women to keep maiden surname hurdles House,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"CA defers Tulfo’s DSWD confirmation over citizenship, libel issues","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Chinese envoy meets with AFP chief Centino after laser incident in West PH Sea,8. Security and Defense,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Rappler answers a dozen cyber libel complaints from Quiboloy workers,"7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – A Caloocan court has convicted Patrolman Jefrey Perez for torture and planting of evidence in relation to the cases of drug war victims Carl Angelo Arnaiz and Reynaldo “Kulot” de Guzman.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
