Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"Oil spill stirs up bayanihan spirit among gov't agencies, fisherfolk",11. Cultural Identity,11. Cultural Identity,10. Quality of Life,11. Cultural Identity
‘Comfort women’ happy with UN panel report,12. Public Opinion,10. Quality of Life,4. Fairness and Equality,False
The Kabataan Party-list and other youth groups called for true freedom and the well-being of the Filipino people as they marched to the People Power Monument on Saturday  the 37th anniversary of the EDSA People Power Revolution.,12. Public Opinion,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
UHC law can’t be applied retroactively —DOJ,5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,False
Apostolic Nuncio to the Philippines Archbishop Charles Brown on Thursday asked Filipinos to pray for the speedy recovery and good health of Pope Francis who was diagnosed with a respiratory infection.,3. Morality,3. Morality,3. Morality,3. Morality
Senator Raffy Tulfo on Tuesday asked the Department of Public Works and Highways (DPWH) the measures they are implementing to ensure that informal settlers will be safe in case of a powerful earthquake.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Attacks vs elected officials 'isolated', not yet alarming, Azurin says",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MIAA looking to turn NAIA-2 into all-domestic terminal,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources,2. Capacity and Resources
The Department of Health (DOH) on Saturday reminded the public to observe health protocols to prevent the spread of COVID-19 during the Holy Week festivities.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Senate reso honors late ex-DFA chief Del Rosario, role in The Hague victory",6. Policy Prescription and Evaluation,13. Political,3. Morality,False
"President Ferdinand ""Bongbong"" Marcos Jr. on Thursday expressed optimism on several projects from Singapore that could help the country's agriculture and climate change measures.",14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation,14. External Regulation and Reputation
Biñan City police have  for violation of the Anti-Hazing Law against six individuals linked to the death of Adamson University student John Matthew Salilig.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
LandBank to give ARBs children P100K annual scholarship grant,10. Quality of Life,2. Capacity and Resources,4. Fairness and Equality,False
President Ferdinand “Bongbong” Marcos Jr. summoned Chinese Ambassador Huang Xilian to express his serious concern over the increasing frequency and intensity of actions of China against personnel of the Philippine Coast Guard and Filipino fishermen.,13. Political,14. External Regulation and Reputation,8. Security and Defense,False
Three more witnesses on the supposed rehabilitation of 50-year-old MT Dorothy Uno into MT Princess Empress went to the National Bureau of Investigation (NBI) to give sworn statements on their involvement in the alleged repairs.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Sandiganbayan has set bail for lawyer Jessica “Gigi” Reyes at P450,000 in connection with the graft charges she is facing over the alleged misuse of her former boss Juan Ponce Enrile's pork barrel fund.","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Philippines' active COVID-19 cases drop below 10K,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"The designation of new EDCA sites—additional Philippine military facilities which may be accessed by US forces—is seen as a provocation to China, an expert from a think-tank has said.",14. External Regulation and Reputation,14. External Regulation and Reputation,8. Security and Defense,14. External Regulation and Reputation
The Quiapo Church on Thursday released the route for the motorcade and parade of the image of the Black Nazarene around Manila on Good Friday.,11. Cultural Identity,3. Morality,10. Quality of Life,False
"Government efforts would be for nothing if the public would not benefit from it, President Ferdinand ""Bongbong"" Marcos Jr. said Monday.",13. Political,13. Political,13. Political,13. Political
National University - Manila grad tops Sanitary Engineer licensure exams,15. Other,15. Other,15. Other,15. Other
Tulfo suggests processing center for private planes amid alleged human smuggling,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Senate public services chairperson Grace Poe on Monday expressed dismay over a “drought  goals” among water agencies in preventing a water crisis amid the dry season.,2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
Malacañang over the weekend denounced a fake memorandum claiming that government employees would have two days worth of pay deducted from their salaries to provide relief for Turkey and Syria.,13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
"SC junks graft, falsification raps vs. Degamo, 3 others over use of calamity fund",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence
"Duterte amid ICC developments: If I rot in prison, so be it",13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
Former National Security Adviser Clarita Carlos said she offered to resign several times after Ferdinand Marcos Jr. relayed to her some information and she felt she had to leave the post.,13. Political,13. Political,13. Political,13. Political
"Justice Secretary Jesus Crispin Remulla has ordered the creation of a special task force which will handle the 23 cases of political killings in Negros Oriental, including that of slain Negros Oriental Governor Roel Degamo.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
LWUA to roll out infra to ensure enough water resources amid El Niño threat,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Salceda: Eased inflation both good and bad news,1. Economic,1. Economic,1. Economic,1. Economic
"Some persons of interest have been identified in the ambush that killed Aparri, Cagayan Vice Mayor Rommel Alameda and five others in Bagabag, Nueva Vizcaya, Philippine National Police (PNP) chief Police General Rodolfo Azurin Jr. said  Monday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Philippine government intends to appeal the resumption of the International Criminal Court’s (ICC) inquiry into the drug war before the ICC Appeals Chamber, Solicitor General Menardo Guevarra said Friday.",13. Political,5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",False
VP Sara orders DepEd to coordinate with PNP for security,8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
Alleged CPP leader arrested in Malaysia —PNP,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The proposed additional benefits for Philippine National Police Academy (PNPA) cadets are now in effect, public information office chief Police Lieutenant Colonel Louie Gonzaga said Wednesday.",10. Quality of Life,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Amending the 1987 Constitution to allow 100% foreign ownership of land and public industries would put the country’s national security at great risk, lawyer and Bayan Muna chairperson Neri Colmenares said Monday.",6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"PSA: More than 50M Filipinos now have their PhilIDs, ePhilIDs",2. Capacity and Resources,6. Policy Prescription and Evaluation,2. Capacity and Resources,2. Capacity and Resources
Cases of violence against women and their children have topped the charges which have been filed against police officers based  before the PNP Integrity Monitoring and Enforcement group since last year.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Senator Robin Padilla, chairman of the Senate Committee on Constitutional Amendments and Revision of Codes, plans to release  reports on the measures seeking to amend the 1987 Constitution.",13. Political,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Remulla to WPP: Help families of those charged in Degamo slay,"7. Law and Order, Crime and Justice",3. Morality,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Degamo's widow reiterates call for Arnie Teves to return to PH, face allegations","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Department of Budget and Management (DBM) on Wednesday said the Marcos administration has allocated P2.39 billion for the National Greening Program under the 2023 General Appropriation Act (GAA).,2. Capacity and Resources,2. Capacity and Resources,1. Economic,2. Capacity and Resources
Mental health issues affecting general population amid hard times —Pimentel,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Senator Ronald “Bato” dela Rosa is open to investigating officers of the Philippine National Police and Philippine Drug Enforcement Agency who allegedly give 30% of the confiscated drugs from successful operations to their informants.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Japan has formally asked the Philippine government to deport four of its citizens suspected of directing a series of robberies there while detained in the Philippines.,"7. Law and Order, Crime and Justice",14. External Regulation and Reputation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Lawyer of Japanese fugitives says VAWC raps not invented,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Kicking off Balikatan drills in PH, US vows defense in South China Sea",14. External Regulation and Reputation,8. Security and Defense,8. Security and Defense,8. Security and Defense
Senate Minority Leader Aquilino “Koko” Pimentel III on Friday prodded the Senate blue  to start the investigation into the alleged “government-sponsored” sugar smuggling.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
DSWD’s Gatchalian to prioritize fixing list of beneficiaries,13. Political,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
"Marcos to 2022 Bar exam passers: Serve country with integrity, compassion",11. Cultural Identity,3. Morality,3. Morality,3. Morality
"President Ferdinand ""Bongbong"" Marcos Jr. has appointed new judges and an official of the Bureau of Jail Management and Penology, Malacañang announced on Tuesday.",2. Capacity and Resources,13. Political,13. Political,13. Political
"The proposed fare discount for public utility vehicles (PUVs), to be implemented in the National Capital Region in April, will also be offered in select routes nationwide, the Department of Transportation (DOTr) said Thursday.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Senator Francis Tolentino on Monday urged the National Bureau of Investigation to look into the physician who supposedly refused to give medical aid to alleged hazing victim John Matthew Salilig.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Armed Forces of the Philippines (AFP) is optimistic about the agreement of the Philippines and the United States to designate four new sites in the country for the Enhanced Defense Cooperation Agreement (EDCA).,14. External Regulation and Reputation,8. Security and Defense,8. Security and Defense,8. Security and Defense
"Foreign Affairs Secretary Enrique Manalo and Defense officer-in-charge Senior Undersecretary Carlito Galvez will lead the Philippine delegation to the third iteration of the 2+2 policy level dialogue, the Department of Foreign Affairs said Wednesday.",13. Political,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
DOH to discuss with DBM reforms in paying delayed health workers’ COVID-19 allowance,6. Policy Prescription and Evaluation,2. Capacity and Resources,4. Fairness and Equality,False
Department of Foreign Affairs (DFA) chief Enrique Manalo on Wednesday said six of the 16 projects in the five initial Enhanced Defense Cooperation Agreement (EDCA) locations would  this year.,2. Capacity and Resources,8. Security and Defense,8. Security and Defense,8. Security and Defense
DND sets budget for ROTC uniforms at P5 billion –Dela Rosa,2. Capacity and Resources,2. Capacity and Resources,1. Economic,2. Capacity and Resources
"Comelec allows COC filing for 2023 BSKE in malls, big public spaces for populated areas",13. Political,6. Policy Prescription and Evaluation,13. Political,13. Political
Marcos thanks Malaysia for role in peace process in Mindanao,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Senator Imee Marcos on Tuesday urged the government to act promptly and provide long-term solutions to the problems in the country’s maritime industry following the European Union’s (EU) decision to continue recognizing the certificates for seafarers issued by the Philippines.,6. Policy Prescription and Evaluation,14. External Regulation and Reputation,1. Economic,False
"DOH logs 89 new COVID-19 cases, lowest daily tally since April 2020",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Filipino family in Sudan walked 5 km to escape war zone,10. Quality of Life,10. Quality of Life,9. Health and Safety,10. Quality of Life
"Gov't offers programs to improve lives of drug users, former rebels - DILG",10. Quality of Life,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life
VP Sara: Pregnancy should not hinder teenage girls from finishing studies,10. Quality of Life,9. Health and Safety,10. Quality of Life,10. Quality of Life
"NCSC wants pension disbursed thru cash cards, remittance centers",6. Policy Prescription and Evaluation,2. Capacity and Resources,10. Quality of Life,False
The camp of former Senator Leila de Lima on Monday said that convicted drug dealer Herbert Colanggo failed to present evidence to prove that she was involved in drug transactions during her stint as Justice secretary.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Complications arising from the possible China-US conflict to the Philippines, and even to the whole ASEAN region cannot be avoided, Philippine Ambassador to Washington Jose Manuel Romualdez said on Sunday (Manila time).",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Shabu worth P6.7 billion that were seized from now-dismissed Police Master Sergeant Rodolfo Mayo in 2022 have been destroyed, the Philippine National Police (PNP) said Tuesday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The two houses of Congress, as well as the Supreme Court and President Ferdinand ""Bongbong"" Marcos Jr.'s Cabinet, all scored ""very good"" net satisfaction ratings based on a December 2022 survey by the Social Weather Stations (SWS).",13. Political,12. Public Opinion,12. Public Opinion,12. Public Opinion
"Kidnapping victim found dead in Tanza, Cavite","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The suspects who have executed extra-judicial confessions in connection with the attack on the residence Negros Oriental Gov. Roel Degamo last weekend have tagged a prominent person as the mastermind behind the killing.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Marcos admin to launch 'Konsyerto sa Palasyo',13. Political,6. Policy Prescription and Evaluation,11. Cultural Identity,False
"Tobacco smokers struggling to quit have options, says group",12. Public Opinion,12. Public Opinion,9. Health and Safety,12. Public Opinion
MIAA: Contingencies in place for ‘unadvised’ passengers on May 17 airspace shutdown,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life,10. Quality of Life
BFAR: Fish supply enough despite increased demand during Holy Week,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Justice Secretary Jesus Crispin Remulla on Friday said he will attend the Senate public order and dangerous  probe into the killing of Negros Oriental Governor Roel Degamo on Monday, April 17.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
At least four senators expressed dismay Monday over the supposed poor management of the country’s main airport after a power outage hit Ninoy Aquino International Airport on Labor Day.,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life,10. Quality of Life
BI to eliminate paper-based departure cards on May 1,2. Capacity and Resources,6. Policy Prescription and Evaluation,10. Quality of Life,False
House approves on 2nd reading bill safeguarding freelancers,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Marcos says Filipinos 'reaping fruits' of father's admin building NKTI,13. Political,13. Political,13. Political,13. Political
NLEX connector España section to open on March 27,2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
Finance Secretary Benjamin Diokno is reviving his proposal to reform the pension system for military and uniformed personnel (MUP) under the Marcos administration as he warned that failure to address the ballooning cost of pensions for retirees could lead to a “fiscal collapse.”,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"The Department of Justice (DOJ) wants the cases against the four Japanese nationals, who are suspected of being masterminds of illegal activities in Japan, to be dismissed in order to facilitate their deportation.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Department of Foreign Affairs on Thursday rejected China's claim that its coast guard's use of laser pointer against Philippine government crew conducting a resupply mission to Ayungin shoal was merely for navigation safety purposes.,13. Political,8. Security and Defense,14. External Regulation and Reputation,False
The Food and Drug Administration (FDA) has created a task force to fast track and streamline the approval and evaluation of COVID-19 drugs in the country.,2. Capacity and Resources,9. Health and Safety,2. Capacity and Resources,2. Capacity and Resources
Quiapo Church bares route for Nazareno motorcade on Good Friday,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
The Civil Aviation Authority of the Philippines (CAAP) is amending regulations on the use of drone or remotely piloted aircraft system (RPAS) in the country.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Nearly 115,000 service connections of Maynilad Water Services Inc. are set to experience up to 57 hours of water interruptions in  week, as the concessionaire seeks to repair a major leak on its primary line in Makati.",2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
Japan gov't survey finds 1.5 million living as recluses,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"PNP inspects terminals, ports to ensure safe Holy Week travels",8. Security and Defense,8. Security and Defense,9. Health and Safety,8. Security and Defense
Newly installed Philippine National Police (PNP) chief Police General Benjamin Acorda Jr. on Tuesday said he is not yet planning to implement a revamp in the police organization,13. Political,8. Security and Defense,2. Capacity and Resources,False
Newlywed couple gives 'gold bars' as wedding souvenirs,15. Other,10. Quality of Life,15. Other,15. Other
Poe warns another ‘gargantuan’ backlog in LTO amid driver’s license card shortage,13. Political,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Israel's Iron Dome intercepts a barrage of rockets fired from the Gaza Strip amid retaliatory strikes on the Palestinian enclave, an Agence France-Presse video tweet indicated Friday.",14. External Regulation and Reputation,14. External Regulation and Reputation,8. Security and Defense,14. External Regulation and Reputation
"A graduate of Mariano Marcos State University in Batac topped the March 2023 physicians licensure examination, according to the Professional Regulation Commission (PRC) on Thursday.",15. Other,15. Other,15. Other,15. Other
The Sandiganbayan has found former Maguindanao governor Datu Sajid Islam Ampatuan guilty of malversation through falsification of public documents and graft over P147 million worth of farm inputs which turned out to be fictitious way back in 2009.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Insurance for MT Princess Empress at risk due to lack of authority to operate -senators,2. Capacity and Resources,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Philippine delegation raised over P100 million worth of sales leads during the ASEAN Tourism Forum (ATF) held in Yogyakarta, Indonesia earlier this month, the Tourism Promotions Board (TPB) said Monday.",1. Economic,1. Economic,14. External Regulation and Reputation,1. Economic
"Marcos leaves for Washington, says he's determined to build ‘even stronger relationship’ with US",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
House ethics panel ends probe on Arnie Teves’ absence amid allegations,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Senators Ronald ""Bato"" dela Rosa and JV Ejercito on Tuesday were alarmed that several Chinese nationals who allegedly abducted a Filipina had high-powered handguns and a grenade.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Palace bares new appointees in various gov't agencies, GOCCs",2. Capacity and Resources,13. Political,13. Political,13. Political
COVID-19 daily new average up by 42% —DOH,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
House panel unanimously approves Divorce bill,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
No need for Philippine rescue team to extend ops in quake-hit Turkey so far — OCD,2. Capacity and Resources,2. Capacity and Resources,8. Security and Defense,2. Capacity and Resources
The Department of Health (DOH) on Friday encouraged the public to increase their health literacy to have a,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Some 750,000 new beneficiaries have been listed for the Pantawid Pamilyang Pilipino Program (4Ps) replacing the 800,000 who graduated from the financial aid program, Social Welfare Secretary Rex Gatchalian said Friday.",10. Quality of Life,2. Capacity and Resources,4. Fairness and Equality,False
"Senators call for continuous training, maritime industry reforms following EU’s decision",13. Political,6. Policy Prescription and Evaluation,1. Economic,False
"President Ferdinand ""Bongbong"" Marcos Jr. urged the public to participate in the global action against climate change in celebration of International Mother Earth Day.",10. Quality of Life,3. Morality,3. Morality,3. Morality
"The first case of COVID-19 Omicron subvariant XBF in the Philippines is a Filipino senior citizen with no known history of travel, the Department of Health (DOH) said on Thursday.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Speaker Romualdez puts up P500,000 reward for arrest of suspects in Salilig hazing","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"President Ferdinand Marcos Jr. has declared Friday, February 24, 2023, as a special non-working holiday.",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"DOH reports 199 new COVID-19 cases; active tally drops to 10,038",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
The Department of Health (DOH) on Tuesday released guidelines for the use of second COVID-19 booster shots to the general population.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"As Congress tackles revived initiatives to amend the 1987 Constitution, Senator Francis Tolentino said the views of the people should take centerstage.",6. Policy Prescription and Evaluation,13. Political,5. Constitutionality and Jurisprudence,False
BI launches Tiktok account vs. human trafficking,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"A bill seeking to grant additional benefits, including personal security personnel, to former presidents of the country has been filed in the House of Representatives.",6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"CHR: PNP, DepEd should work together amid incidents of school violence",8. Security and Defense,"7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense
"Three months since its preliminary hearings took place, the case on the killing of broadcaster Percy Lapid and alleged middleman Jun Villamor has been submitted for resolution, a prosecutor said Wednesday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"WASHINGTON - The Philippines and the US will put up a bilateral Labor Working Group, the White House has said in a fact sheet.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"House panel okays bill amending law to include online violence vs. women, children",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Bakeries implement higher prices for 'Pinoy Tasty', 'Pinoy Pandesal'",1. Economic,1. Economic,1. Economic,1. Economic
The camp of former Senator Leila de Lima on Monday expressed hope for the speedy resolution of a bail plea they filed in seeking her temporary freedom six years after her detention.,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
A faster and more convenient immigration procedure via e-Travel System will be implemented by the Bureau of Immigration (BI) starting April 15.,2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
PHAPI: COVID-19 admissions in private hospitals still ‘manageable’ amid rising cases,9. Health and Safety,9. Health and Safety,2. Capacity and Resources,9. Health and Safety
CAAP still confirming if Palawan debris is from missing chopper,"7. Law and Order, Crime and Justice",15. Other,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Teves says alleged Degamo 'mastermind' was his former bodyguard,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Senate on Tuesday adopted a  Julie Uychiat for being the first Filipina to finish the World Marathon Challenge and won four of the seven marathons in its 2023 edition.,13. Political,15. Other,4. Fairness and Equality,False
"Philippines logs 350 new COVID-19 cases, active tally at 9,568",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
The Bureau of Immigration (BI) has raised its alarm following recurring interceptions of Senegalese using fake documents.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Philippines may only declare an end to the state of public health emergency due to COVID-19 if infections and hospital utilization remain to be manageable, according to Department of Health (DOH) officer-in-charge Maria Rosario Vergeire on Wednesday.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
DOH: COVID-19 cases plateauing in all areas,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
The Philippine National Police (PNP) on Thursday said it will implement the possible  of the National Police Commission (NAPOLCOM) after its review on the courtesy resignations of senior officers.,6. Policy Prescription and Evaluation,8. Security and Defense,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"CA upholds dismissal of petition for writ of amparo vs. NTF-ELCAC, others","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Special Investigation Task Group (SITG) 990 is investigating the source of the 990 kilos of suspected illegal drugs found in Manila last October, which is also considered one of the biggest police drug hauls in the country.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Lawyer blocked because his 'client' alleged middleman in Degamo slay doesn't know him —PNP,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
PPA board to review anew container policy in ports,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
The powerful Commission on Appointments (CA) on Wednesday confirmed the ad interim appointment of Alfredo Pascual as secretary of the Department of Trade and Industry (DTI).,2. Capacity and Resources,2. Capacity and Resources,13. Political,2. Capacity and Resources
Degamo's wife dismayed over Bato's decision to allow Teves to virtually attend Senate probe,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"President Ferdinand “Bongbong” Marcos Jr. said Wednesday there is no threat against Negros Oriental Representative Arnolfo “Arnie” Teves, who is being linked to the slay of Negros Oriental Governor Roel Degamo.",13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
Another suspect in Adamson student hazing surrenders,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The suggestion that the Department of Education (DepEd) hire 30,000 teachers yearly and for the education budget to be 6% of gross domestic product was unrealistic and impossible, Vice President and Education Secretary Sara Duterte said on Monday.",6. Policy Prescription and Evaluation,2. Capacity and Resources,1. Economic,False
"Maynard Ngu takes oath as special envoy to China for trade, investments, tourism",2. Capacity and Resources,13. Political,14. External Regulation and Reputation,False
"Marcos hopes for a 5-minute travel between Caloocan, Manila",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
House bill seeks additional benefits for former PH presidents,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Policemen who have tendered their courtesy resignations  with the Department of the Interior and Local Government's internal cleansing efforts in the Philippine National Police must ""trust the process,"" Senator Ronald ""Bato"" dela Rosa said Tuesday.",13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
"Marcos tasks DFA, PCG to map out PH’s fishing grounds in West Philippine Sea",8. Security and Defense,2. Capacity and Resources,8. Security and Defense,8. Security and Defense
"The Philippine government is still studying the possible locations for the additional Enhanced Defense Cooperation Agreement (EDCA) sites, according to President Ferdinand ""Bongbong"" Marcos Jr.",13. Political,8. Security and Defense,8. Security and Defense,8. Security and Defense
