Text,Policy Frame 1,Policy Frame 2,Policy Frame 3,Policy Frame 4,Policy Frame 5,Policy Frame 6,Policy Frame 7,Policy Frame 8,Policy Frame 9,Policy Frame 10,Policy Frame 11,Policy Frame 12,Policy Frame 13,Policy Frame 14,Policy Frame 15,Media_Outlet
"The government agencies and the  should now work with full speed in urging the public to register their SIM, Senator Grace Poe said a day after the Supreme Court denied the bid to issue a temporary restraining order against the implementation of the SIM Registration Act.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
DOJ starts process to tag Arnie Teves a terrorist,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
The Department of Justice has started the process for the designation of Negros Oriental Rep. Arnolfo Teves as a terrorist by the Anti-Terrorism Council.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"DOH logs 506 new COVID-19 cases; active infections up to 4,446",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"The Philippines on Wednesday registered 506 new COVID-19 cases, increasing the nationwide overall tally to 4,090,215. The country's active infections, meanwhile, rose to 4,446 from 4,255 on Tuesday.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Cops tell contradicting details on arrests in P6.7-billion shabu bust,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"Police officials told different versions of what happened during the arrest of their fellow policeman, former Master Sergeant Rodolfo Mayo Jr., who has been charged with drug raps over his alleged hand in the 990 kilos of shabu worth P6.7 billion nabbed in Manila in October 2022.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"PH, US sink target ship in Balikatan exercise off Zambales",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
Philippine and US forces using various weapons platforms on Wednesday sank a  corvette in a live-fire drill during Balikatan exercises in Zambales.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"Jinggoy Estrada to DOLE, OWWA: Ensure alternative livelihood programs for displaced OFWs from Sudan",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,GMA
Senator Jinggoy Estrada on Wednesday called on the Overseas Workers Welfare Administration (OWWA) and the Department of Labor and Employment (DOLE) to provide alternative livelihoods to overseas Filipino workers who have been displaced by the ongoing conflict in Sudan.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Cynthia Villar mulls legal action on ‘viral video’,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"Senator Cynthia Villar on Wednesday said she is mulling legal action against the person who took a video of her during a confrontation in a subdivision in Las Piñas as she believes the person had ""bad intent"" after the video went viral online.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
DICT: No more extension after addt’l 90-day SIM registration period expires,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
The Department of Information and Communications Technology (DICT) on Wednesday told those who still have not registered their SIMs to take advantage of the 90-day extension period as this is final and cannot be extended further.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
Marcos watches PH-US live fire Balikatan exercises in Zambales,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
President Ferdinand “Bongbong” Marcos Jr. on Wednesday witnessed  joint littoral live fire exercise of the Philippines and United States armed forces in Zambales as part of their Balikatan Exercise.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
Marcos’ US trip a good chance to discuss better EDCA terms —Imee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"President Ferdinand “Bongbong” Marcos Jr.’s official working visit to the US is a good chance to discuss the renewal of the Enhanced Defense Cooperation Agreement under new terms and conditions, Senator Imee Marcos has said.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
Babe Romualdez says Marcos has no objection to PH-US MDT but wants clarification,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"There are some points that President Ferdinand Marcos Jr. wants to clarify as regards the PH-US Mutual Defense Treaty when he meets US President Joe Biden, Ambassador Jose Manuel Romualdez has said.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"DOH logs 315 new COVID-19 cases; active tally dips to 4,255",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"The Department of Health (DOH) on Tuesday logged 315 new COVID-19 cases, while the number of active infections decreased by 81 cases to 4,255 from 4,336 on Monday.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
DICT chief Uy sees 'serious lapses' in PNP database leak,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"Department of Information and Communications Technology (DICT) Secretary Ivan John Uy said Tuesday that there had been serious lapses in the ""supposed leak"" from the Philippine National Police (PNP) database,  the details of 1.2 million records of employees and applicants.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
UNICEF: PH confidence in childhood vaccines declines 25% during pandemic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"The perception of the importance of vaccines for children declined by 25% in the Philippines during the COVID-19 pandemic, according to a UNICEF report.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
VP Duterte urges students to help classmates who can’t read,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,GMA
"Vice President and Education Secretary Sara Duterte on Tuesday called on students in Oriental Mindoro to be kinder towards classmates who are still not able to read, instead of making fun of them.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,GMA
DOJ eyes writ of kalikasan over Mindoro oil spill,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"The Department of Justice (DOJ) will seek a writ of kalikasan against those responsible for the Mindoro oil spill should they fail to act, Justice Secretary Jesus Crispin Remulla said Tuesday.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Senate inquiry sought to end power crisis in Occidental Mindoro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"Senator Sherwin Gatchalian is seeking a Senate inquiry into the government’s short, medium, and long-term solutions to end the power supply crisis in Occidental Mindoro.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
MIAA to lengthen airport CCTV footage retention to 90 days,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
The Manila International Airport Authority (MIAA) said they would upgrade the retention of closed-circuit television (CCTV) footage at key airport areas and immigration counters.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
Immigration bureau raises alarm vs. Senegalese using fake documents,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
The Bureau of Immigration (BI) has raised its alarm following recurring interceptions of Senegalese using fake documents.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
Public advised to get 2nd booster dose amid rising COVID-19 cases,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
People eligible to receive the second COVID-19 booster dose were called on by a medical professional to take the jab amid the reported rise in coronavirus infections.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
PNP: 36 senior police officials to undergo further evaluation by Napolcom,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
The Philippine National Police (PNP) on Tuesday said the five-man advisory group has  36 senior police officials for further evaluation by the National Police Commission ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
Hontiveros stresses need for women leaders in gov’t to ensure ‘true’ gender equality,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GMA
Senator Risa Hontiveros has emphasized the need for women leaders at the policy-making level to ensure “true” gender equality during the recent Global Conference of Parliamentarians on Population and Development in Tokyo.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Sandiganbayan says conviction of ex-Maguindanao gov Sajid Ampatuan final and executory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"The Sandiganbayan has affirmed its decision finding former Maguindanao governor Sajid Ampatuan guilty of multiple counts of graft, malversation, and falsification of public documents, saying the decision is final and executory.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Senate proposal aims to add mental health disorders to PhilHealth coverage,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"A proposal to expand Philhealth insurance coverage by adding mental health disorders has been raised at the Senate, Vonne Aquino reported on ""State of the Nation.""",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Pre-trial on missing e-sabong agent's case set for June,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"A pre-trial hearing on the disappearance of an e-sabong agent, who was allegedly abducted in his home in 2021, is set to start in June.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Gov’t to keep an eye on telcos as SIM registration deadline looms,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"The government will keep a careful watch on  to ensure that they do not take undue advantage of the public as the deadline for SIM registration approaches, Justice Secretary Jesus Crispin Remulla said Monday.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"DepEd, CHED urged to address ‘vape epidemic’ among youth",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
Advocacy groups on Monday appealed to the Department of Education (DepEd) and the Commission on Higher Education (CHED) to strengthen efforts to resolve the “vape epidemic” among the youth.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GMA
Pag-IBIG home loan releases up 14% in first quarter of 2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"State-run Home Development Mutual Fund (Pag-IBIG) Fund opened 2023 with P27.57-billion worth of home loans released, reflecting a 14% climb from the P24.21 billion in the first quarter of 2022.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
Remulla: DOJ also seeks to designate 3 to 5 of Teves’ allies as terrorists,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
Justice Secretary Jesus Crispin Remulla on Monday said the Justice Department is seeking to designate as terrorists three to five people who may be working with suspended Negros Oriental Congressman Arnolfo “Arnie” Teves Jr.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Gatchalian proposes LGUs' automatic income classification to improve public services,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
Senator Sherwin Gatchalian on Monday said he has filed a bill institutionalizing an automatic  classification of local government units (LGUs) to enhance public services.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Marcos: Gov't studying reverting school vacation back to March,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"President Ferdinand ""Bongbong"" Marcos Jr. said the government is studying reverting school vacation back to March.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Aircon units in public schools? DepEd says it has budget restrictions,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"The Department of Education (DepEd) on Monday set aside proposals to install air conditioners in public schools amid the extreme heat, saying that it has financial constraints and other solutions to the problem.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
"Marcos to new PNP chief: Enforce maximum tolerance for critics, be open to public scrutiny",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"President Ferdinand ""Bongbong"" Marcos Jr. on Monday called on newly-installed Philippine National Police (PNP) chief Police General Benjamin Acorda Jr. to always enforce maximum tolerance when  to criticisms against the organization.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"ACT calls on DepEd to add classroom facilities, reduce class sizes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
"The Alliance of Concerned Teachers (ACT) over the weekend called on the Department of Education (DepEd) to provide additional facilities for classrooms and to reduce the size of classes, given the recent heat spikes recorded in the country.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GMA
"DOTr: Face-mask wearing remains mandatory in LRT, MRT, PNR trains",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
"The Department of Transportation said on Sunday that due to the rising COVID-19 cases across the country, face mask mandates would continue to be strictly enforced in all trains of the Light Rail Transit (LRT), Metro Rail Transit (MRT), and Philippine National Railways (PNR).",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
AFP says it's possible to expand EDCA sites further: We need 360° protection,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
The Armed Forces of the Philippines (AFP) said Sunday that further establishing Enhanced Defense Cooperation Agreement (EDCA) sites in Philippine territory is possible to add more protection capability for the troops.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
DOH assures control over social media platforms following Twitter glitch,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
The Department of Health (DOH) said on Saturday it has full control over its social media platforms after a technical glitch hit its Twitter account.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
PMA holds testimonial parade for outgoing PNP chief Azurin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GMA
"The Philippine Military Academy (PMA) held a testimonial parade for outgoing Philippine National Police (PNP) chief Police General Rodolfo Azurin Jr. on Saturday.   Azurin, who is set to retire on April 24, was given a testimonial parade held at the PMA in Baguio City as a tribute and recognition for his almost four decades of service in the PNP. He is a member of the PMA “Makatao” Class of 1989.   The PNP chief earlier advised his successor “not to be afraid of who gets caught and who gets hurt.”   Azurin also said President Ferdinand ""Bongbong"" Marcos Jr. should be careful when choosing the next leader of the PNP.    Meanwhile, the PNP chief appealed to the six suspects in the missing sabungeros case to surrender to the authorities.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
Teves says gov't making him a ‘trophy’ as DOJ insists actions based on evidence,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Suspended Negros Oriental Representative Arnolfo “Arnie” Teves Jr. on Saturday alleged that the government was making a “trophy” out of him by tagging him as the mastermind behind the killing of Negros Oriental Governor Roel Degamo.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
NWRB calls on public to conserve water as El Niño draws near,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"As the Philippines braces for the onset of the El Niño phenomenon, the National Water Resources Board (NWRB) asked the public to do its part in conserving the water supply.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Manalo: Differences should not prevent PH and China from managing sea dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"Foreign Affairs Secretary Enrique Manalo said “differences” between the Philippines and China should not stand in the way of managing the two countries’ territorial dispute in the South China Sea, adding Manila intends to “work closely” with Beijing in bolstering their economic ties.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"WWII wreck on which nearly 1,000 Australians died found in South China Sea northwest of Luzon",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"SYDNEY - Deep-sea explorers said Saturday they had located the wreck of a World War II Japanese transport ship, the Montevideo Maru, which was torpedoed off the Philippines killing nearly 1,000 Australians aboard.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"Sara Duterte on Eid'l Fitr: Pray for harmony, unity, success for each one",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"Vice President Sara Duterte in her message for Eid'l Fitr asked for prayers for “harmony, unity, and success for each one.""",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GMA
How 1734 Murillo Velarde map serves as living document of Philippine territory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"The Alliance Française de Manille on Friday launched an exhibition featuring rare maps from the 17th to 19th centuries and the Murillo Velarde 1734 Map, known as the ""Mother of all Philippine Maps.""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
How date of Eid'l Fitr is determined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GMA
"The Eid'l Fitr or the end of the month of Ramadan will be celebrated on Saturday, April 22.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GMA
145 students in Occidental Mindoro hospitalized since March due to extreme heat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"At least 145 students in Occidental Mindoro have been hospitalized since March due to extreme heat, according to Andrew Bernardo’s GMA Regional TV Balitang Southern Tagalog report aired in “24 Oras” on Friday.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Statue of ex-President Diosdado Macapagal unveiled in Zambales,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"A statue of former President Diosdado Macapagal was unveiled at the Philippine Merchant Marine Academy (PMMA) in San Narciso, Zambales on Friday, his daughter and House Senior Deputy Speaker Gloria Arroyo said.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
DOTr chief Bautista: Another vehicle plate shortage looms,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"Amid the shortage of plastic cards used for printing driver’s licenses, Transportation Secretary Jaime Bautista on Friday warned of another shortage in vehicle license plates.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"Galvez: US pledged P11-B for disaster-response choppers, EDCA sites",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"The United States has pledged US$100 million or over P5.5 billion for the acquisition of medium-lift helicopters for disaster response and  operations of the Armed Forces of the Philippines, Defense department officer in charge Carlito Galvez has said.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"De Lima to Remulla: I will gain my freedom on merits, not humanitarian grounds",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Former Senator Leila de Lima on Friday insisted that she would fight for her freedom by arguing against the “fabricated” cases filed against her by the Department of Justice in court.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"‘Adik, 'durugista,' 'drug abuser' are harmful labels — advocate group",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"An advocate group on Friday discouraged the use of labels “adik,” “durugista,” and “drug abuser” as these have harmful consequences to the lives of concerned individuals.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Poe warns another ‘gargantuan’ backlog in LTO amid driver’s license card shortage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
Senate public  chairperson Grace Poe on Friday warned of another “gargantuan backlog” in the Land Transportation Office (LTO) amid the shortage of plastic cards for driver’s license.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"AFP calls alleged torture, killing of CPP leaders Benito, Wilma Tiamzon by military ‘fictitious’",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
The Armed Forces of the Philippines (AFP) on Friday denied the report of the Communist Party of the Philippines (CPP) that rebel leaders Benito and Wilma Tiamzon were allegedly tortured and killed by the military.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"Marcos, Biden to have bilateral talks next month",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"President Ferdinand ""Bongbong"" Marcos Jr. will have a bilateral meeting with United States President Joe Biden at the White House next month.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
SC affirms acquittal of ex-AFP general Ligot of tax evasion,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"The Supreme Court has affirmed a decision of the Court of Tax Appeals (CTA) acquitting retired Lieutenant General Jacinto Ligot and his wife, Erlinda, of tax evasion in connection to their P428-million tax deficiency case.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
LTO to issue driver's license on paper amid plastic card shortage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
The Land Transportation Office (LTO) will print out drivers' licenses on paper due to the shortage of plastic cards.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
PNP asks for more time to validate alleged data breach — NPC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
The Philippine National Police (PNP) has requested for more time to validate if its database  the National Privacy Commission (NPC) said Thursday.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"DICT’s cybersecurity arm probes PNP, NBI database breach",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
The Department of Information and Communications Technology (DICT) is now investigating the alleged data breach involving the database of law enforcement agencies.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"CPP: Benito and Wilma Tiamzon, 8 others tortured, killed by AFP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
The Communist Party of the Philippines has confirmed the deaths of its leaders Benito and Wilma Tiamzon in August 2022.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Remulla says Bantag expressed wish to surrender,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"Justice Secretary Jesus Crispin Remulla on Thursday said former Bureau of Corrections (BuCor) chief Gerald Bantag, the alleged mastermind in the killing of broadcaster Percy Lapid, has expressed his wish to surrender.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"PNP chief Azurin to successor: Be strong, don't be afraid who gets caught, hurt",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"Philippine National Police (PNP) chief Police General Rodolfo Azurin Jr. on Thursday advised his successor to be strong and brave, saying “not to be afraid of who gets caught and who gets hurt.”",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
Remulla: Illegal possession raps vs. Teves enough to designate him terrorist,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
" for illegal possession of firearms and explosives filed against suspended Negros Oriental Representative Arnolfo “Arnie” Teves Jr. is enough to designate him as a terrorist, Justice Secretary Jesus Crispin Remulla said Thursday.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
PHAPI: COVID-19 admissions in private hospitals still ‘manageable’ amid rising cases,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"The utilization of private hospitals remains to be manageable despite the increasing number of new COVID-19 infections, an official of the Private Hospitals Association of the Philippines Inc. (PHAPI) said Thursday.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Teves says alleged Degamo 'mastermind' was his former bodyguard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"Suspended Negros Oriental Representative Arnolfo “Arnie” Teves Jr. on Thursday confirmed that Marvin Miranda, one of the alleged masterminds behind the killing of Negros Oriental Governor Roel Degamo, used to be his bodyguard.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"Senate reso honors late ex-DFA chief Del Rosario, role in The Hague victory",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Senator Risa Hontiveros has filed a resolution seeking to honor the late former Foreign Affairs Secretary Albert del Rosario and his role that led to the 2016 landmark victory against China in The Hague.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"Condos used as 'living, working' hubs for trafficked victims —Risa",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"Residential buildings in the Philippines are being used as ""living and working"" facilities for trafficked foreigners recruited to perform scams on unknowing victims, Senator Risa Hontiveros said on Wednesday.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
SWS: 7% of Filipino households have OFW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"At least seven percent of Filipino households have an overseas Filipino worker (OFW) who help sustain the family, according to a Social Weather Stations (SWS) survey.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
Public warned of 'juice jacking' at public charging stations,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GMA
"Using USB ports and charging stations in public places could put your identity at risk as experts warn about ""juice jacking.""",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"DFA refuses to send invitations to ICC execs to attend Senate inquiry, citing Marcos",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
De Lima’s camp opposes move to reopen case,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"The camp of detained former senator Leila de Lima on Wednesday opposed the motion filed by the prosecution before a Muntinlupa court to reopen one of her drug cases, calling it “underhanded maneuvering.”",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Water level at Angat Dam remains 'normal' —NWRB exec,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"While the water level in Angat Dam remains ""normal,"" the National Water Resources Board (NWRB) on Wednesday urged the public to conserve water due to the threat of El Niño.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Marcos sees no looming rice crisis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"SAN JOSE DEL MONTE, Bulacan — President Ferdinand ""Bongbong"" Marcos Jr. said Wednesday he does not see a looming rice crisis.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
Stigma lingers on breast cancer —group,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
A breast care advocate and support organization on Wednesday underscored the importance of raising the public’s awareness on the early detection of breast cancer before it gets worse.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Remulla orders creation of special task force to handle 23 political killings in Negros Oriental,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"Justice Secretary Jesus Crispin Remulla has ordered the creation of a special task force which will handle the 23 cases of political killings in Negros Oriental, including that of slain Negros Oriental Governor Roel Degamo.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
SRA amends rules to allow seized smuggled sugar to be sold at Kadiwa stores,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
"The Sugar Regulatory Administration (SRA) has amended several rules to authorize the donation of confiscated smuggled sugar to Kadiwa stores and allow its sale to the general public.   SRA Board Member Pablo Azcona said the agency’s governing body, the SRA Board, held a regular meeting on Tuesday to discuss issues concerning the industry.   “Another thing that was urgently taken up was amendments to some of the memorandum circulars of the SRA that will involve the seized sugar. How to treat the seized sugar because, in the SRA, the treatment is either for sale through bidding or destruction,” Azcona told reporters in a Zoom interview on Wednesday.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
Senate bill eyes jail time for nuisance candidates,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
"A bill seeking to impose stiffer penalties, including imprisonment, against nuisance candidates has been filed in the Senate.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
DICT: No extension of April 26 SIM registration deadline ‘at this point’,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
"With only a week before the SIM registration period expires, the Department of Information and Communications Technology (DICT) announced that the April 26, 2023 deadline remains.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
Marcos surprised by Huang's remark; but says it could be due to 'difference in language',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
President Ferdinand “Bongbong” Marcos Jr. on Wednesday admitted that he was surprised by the recent remarks of Chinese Ambassador to the Philippines Huang Xilian and that he will speak with him soon to get a clarification.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
Degamo's widow wants change to PNP protocol vs. presenting suspects,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,GMA
"Pamplona Mayor Janice Degamo, widow of slain Negros Oriental Governor Roel Degamo, on Wednesday said it is time to amend the long-standing policy of the Philippine National Police (PNP) on the non-presentation of suspects before the public.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
DA Senior Usec. Panganiban takes over as SRA OIC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"Department of Agriculture (DA) Senior Undersecretary Domingo Panganiban has taken over the reins of the Sugar Regulatory Administration (SRA) as officer-in-charge (OIC), nearly a month after the post was vacated by David Alba, SRA Board Member Pablo Luis Azcona said on Wednesday.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
DOJ wants to present new witness vs. De Lima,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
The Department of Justice (DOJ) has filed a motion to reopen one of the drug cases of former Senator Leila de Lima as the agency wants to present a new witness against her.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Stand for Truth’s ‘Runaway Child Brides’ is first GMA digital documentary to win in New York Festivals,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
Stand for Truth has  the first GMA digital show to win a medal at the prestigious New York Festivals TV and Film Awards.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
